Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500067,BLUESTARCO,BLUE STAR LTD.,Active,B ,2.00,INE472A01039,Consumer Electronics,Equity
500074,BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity
500222,JCTEL,JCT ELECTRONICS LTD.,Active,B ,1.00,INE264B01020,Consumer Electronics,Equity
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,B ,10.00,INE716A01013,Consumer Electronics,Equity
500279,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,B ,1.00,INE831A01028,Consumer Electronics,Equity
500371,SAMTELIN,SAMTEL INDIA LTD.-$,Active,XT,10.00,INE538C01017,Consumer Electronics,Equity
500372,SAMTEL,SAMTEL COLOR LTD.,Active,T ,10.00,INE381A01016,Consumer Electronics,Equity
511389,VIDEOIND,VIDEOCON INDUSTRIES LTD.,Active,A ,10.00,INE703A01011,Consumer Electronics,Equity
517228,TRENDELEC,TREND ELECTRONICS LTD.-$,Active,XD,10.00,INE219F01017,Consumer Electronics,Equity
517236,CALCOM,CALCOM VISION LTD.,Active,XD,10.00,INE216C01010,Consumer Electronics,Equity
517385,SYMPHONY,Symphony Limited,Active,B ,2.00,INE225D01027,Consumer Electronics,Equity
517399,VXLINSTR,VXL INSTRUMENTS LTD.,Active,XT,10.00,INE756A01019,Consumer Electronics,Equity
523398,HITACHIHOM,HITACHI HOME AND LIFE SOLUTIONS (INDIA) LTD.,Active,B ,10.00,INE782A01015,Consumer Electronics,Equity
523449,SHARP,SHARP INDIA LTD.,Active,XC,10.00,INE207B01011,Consumer Electronics,Equity
533581,PGEL,PG ELECTROPLAST LTD.,Active,B ,10.00,INE457L01011,Consumer Electronics,Equity
