Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500317,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,B ,10.00,INE142A01012,Investment Companies,Equity
501148,DSINVEST,DALAL STREET INVESTMENTS LTD.,Active,XT,10.00,INE422D01012,Investment Companies,Equity
501179,OSCAR,OSCAR INVESTMENTS LTD.,Active,XC,10.00,INE221D01018,Investment Companies,Equity
501298,INDPRUD,INDUSTRIAL &amp; PRUDENTIAL INVESTMENTS CO.LTD.,Active,XC,10.00,INE620D01011,Investment Companies,Equity
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,B ,10.00,INE672A01018,Investment Companies,Equity
505526,DOLAT,DOLAT INVESTMENTS LTD.,Active,XD,1.00,INE966A01022,Investment Companies,Equity
506105,STANROS,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.,Active,XD,10.00,INE441L01015,Investment Companies,Equity
507458,UBHOLDINGS,UNITED BREWERIES (HOLDINGS) LTD.,Active,B ,10.00,INE696A01025,Investment Companies,Equity
511012,YAMNINV,YAMINI INVESTMENTS COMPANY LTD.,Active,B ,1.00,INE457N01025,Investment Companies,Equity
530389,GEEFC,GEEFCEE FINANCE LTD.,Active,XT,10.00,INE632D01016,Investment Companies,Equity
531919,MUDITFN,MUDIT FINLEASE LTD.,Active,XD,10.00,INE220D01010,Investment Companies,Equity
532056,ADIEXRE,ADINATH EXIM RESOURCES LTD.,Active,XT,10.00,INE398H01015,Investment Companies,Equity
532518,FLORENCE,Florence Investech Limited-$,Active,XC,10.00,INE211G01020,Investment Companies,Equity
532852,MCDHOLDING,MCDOWELL HOLDINGS LTD.,Active,B ,10.00,INE836H01014,Investment Companies,Equity
532855,HARYNACAP,HARYANA CAPFIN LTD.,Active,XD,10.00,INE928H01019,Investment Companies,Equity
532895,NAGREEKCAP,NAGREEKA CAPITAL &amp; INFRASTRUCTURE LTD.,Active,B ,5.00,INE245I01016,Investment Companies,Equity
532952,NAHARCAP,NAHAR CAPITAL &amp; FINANCIAL SERVICES LTD.,Active,B ,5.00,INE049I01012,Investment Companies,Equity
533170,TAMBOLI,TAMBOLI CAPITAL LTD.,Active,XD,10.00,INE864J01012,Investment Companies,Equity
533302,KICL,KALYANI INVESTMENT COMPANY LTD.,Active,B ,10.00,INE029L01018,Investment Companies,Equity
533303,BFINVEST,BF INVESTMENT LTD.,Active,B ,5.00,INE878K01010,Investment Companies,Equity
533306,SUMMITSEC,SUMMIT SECURITIES LTD.,Active,B ,10.00,INE519C01017,Investment Companies,Equity
533336,DHUNINV,DHUNSERI INVESTMENTS LTD.,Active,B ,10.00,INE320L01011,Investment Companies,Equity
533602,LESHAIND,LESHA INDUSTRIES LTD.,Active,XD,10.00,INE050L01022,Investment Companies,Equity
533632,ONELIFECAP,ONELIFE CAPITAL ADVISORS LTD.,Active,B ,10.00,INE912L01015,Investment Companies,Equity
537750,KIRANVYPAR,Kiran Vyapar Ltd,Active,XC,10.00,INE555P01013,Investment Companies,Equity
538180,GOLDLINE,Gold Line International Finvest Ltd,Active,XC,10.00,INE204P01018,Investment Companies,Equity
538351,AFEL,A.F. Enterprises Ltd,Active,XD,10.00,INE663P01015,Investment Companies,Equity
538422,JACKSON,Jackson Investments Ltd,Active,XD,1.00,INE508N01025,Investment Companies,Equity
538451,WORTH,Worth Investment &amp; Trading Co Ltd,Active,XT,10.00,INE114O01012,Investment Companies,Equity
538539,JTAPARIA,J. Taparia Projects Ltd,Active,XD,10.00,INE075K01013,Investment Companies,Equity
539091,CITL,Consecutive Investment &amp; Trading Company Ltd,Active,XD,10.00,INE187R01011,Investment Companies,Equity
539123,VBIND,V B Industries Ltd,Active,XD,10.00,INE334E01017,Investment Companies,Equity
539131,CLLIMITED,Crescent Leasing Ltd,Active,XD,10.00,INE767G01013,Investment Companies,Equity
539217,SRESTHA,Srestha Finvest Ltd,Active,XT,10.00,INE606K01015,Investment Companies,Equity
539266,CONCRETE,Concrete Credit Ltd,Active,XT,10.00,INE719G01014,Investment Companies,Equity
539290,BINDALAGRO,Oswal Greentech Ltd,Active,B ,10.00,INE143A01010,Investment Companies,Equity
539488,TFLL,Tirupati Finlease Ltd,Active,XT,10.00,INE027S01017,Investment Companies,Equity
539543,VALLEY,Valley Magnesite Company Ltd,Active,XD,10.00,INE834E01016,Investment Companies,Equity
539545,APOORVA,Apoorva Leasing Finance and Investment Company Ltd,Active,XD,10.00,INE217S01014,Investment Companies,Equity
