Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500055,BHUSANSTL,BHUSHAN STEEL LTD.,Active,A ,2.00,INE824B01021,Iron &amp; Steel/Interm.Products,Equity
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron &amp; Steel/Interm.Products,Equity
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron &amp; Steel/Interm.Products,Equity
500141,FERROALL,FERRO ALLOYS CORPORATION LTD.,Active,XD,1.00,INE912A01026,Iron &amp; Steel/Interm.Products,Equity
500228,JSWSTEEL,JSW STEEL LTD.,Active,A ,10.00,INE019A01020,Iron &amp; Steel/Interm.Products,Equity
500235,KSL,KALYANI STEELS LTD.,Active,B ,5.00,INE907A01026,Iron &amp; Steel/Interm.Products,Equity
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,XC,5.00,INE884B01025,Iron &amp; Steel/Interm.Products,Equity
500295,VEDL,Vedanta Limited,Active,A ,1.00,INE205A01025,Iron &amp; Steel/Interm.Products,Equity
500365,RMGALLOY,RMG Alloy Steel Limited,Active,XD,6.00,INE731F01037,Iron &amp; Steel/Interm.Products,Equity
500399,STEELCO,STEELCO GUJARAT LTD.,Active,XD,10.00,INE629B01024,Iron &amp; Steel/Interm.Products,Equity
500404,SUNFLAG,SUNFLAG IRON &amp; STEEL CO.LTD.,Active,B ,10.00,INE947A01014,Iron &amp; Steel/Interm.Products,Equity
500460,MUKANDLTD,MUKAND LTD.,Active,B ,10.00,INE304A01026,Iron &amp; Steel/Interm.Products,Equity
500470,TATASTEEL,TATA STEEL LTD.,Active,A ,10.00,INE081A01012,Iron &amp; Steel/Interm.Products,Equity
504614,SARDAEN,SARDA ENERGY &amp; MINERALS LTD.-$,Active,B ,10.00,INE385C01013,Iron &amp; Steel/Interm.Products,Equity
504629,ANILSPL,ANIL SPECIAL STEEL INDUSTRIES LTD.-$,Active,XT,10.00,INE904B01013,Iron &amp; Steel/Interm.Products,Equity
504671,CHASBRT,CHASE BRIGHT STEEL LTD.,Active,P ,10.00,NA          ,Iron &amp; Steel/Interm.Products,Equity
504701,GONTER,GONTERMANN-PEIPERS (INDIA) LTD.,Active,XD,10.00,INE530A01026,Iron &amp; Steel/Interm.Products,Equity
504731,IBRIGST,INDIAN BRIGHT STEEL CO.LTD.,Active,XT,10.00,INE566M01017,Iron &amp; Steel/Interm.Products,Equity
504903,RATHIST,RATHI STEEL &amp; POWER LTD.-$,Active,XD,10.00,INE336C01016,Iron &amp; Steel/Interm.Products,Equity
504961,TATAYODOGA,TAYO ROLLS LTD.-$,Active,XD,10.00,INE895C01011,Iron &amp; Steel/Interm.Products,Equity
506022,PRAKASH,PRAKASH INDUSTRIES LTD.,Active,B ,10.00,INE603A01013,Iron &amp; Steel/Interm.Products,Equity
511672,SCANSTL,Scan Steels Limited,Active,XC,10.00,INE099G01011,Iron &amp; Steel/Interm.Products,Equity
