Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,B ,1.00,INE306A01021,Sugar,Equity
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10.00,INE459A01010,Sugar,Equity
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.00,INE495A01022,Sugar,Equity
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.00,INE041A01016,Sugar,Equity
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity
500132,EMPEESUG,EMPEE SUGARS &amp; CHEMICALS LTD.,Active,XD,10.00,INE928B01012,Sugar,Equity
500162,PARRYSUGAR,PARRYS SUGAR INDUSTRIES LTD.,Active,B ,10.00,INE353B01021,Sugar,Equity
500319,INDSUCR,INDIAN SUCROSE LTD.,Active,XT,10.00,INE557C01017,Sugar,Equity
500354,RAJSREESUG,RAJSHREE SUGARS &amp; CHEMICALS LTD.,Active,B ,10.00,INE562B01019,Sugar,Equity
507180,KESARENT,KESAR ENTERPRISES LTD.-$,Active,B ,10.00,INE133B01019,Sugar,Equity
507260,OUDHSUG,OUDH SUGAR MILLS LTD.,Active,B ,10.00,INE594A01014,Sugar,Equity
507300,RAVALSUGAR,RAVALGAON SUGAR FARM LTD.,Active,XT,50.00,INE615A01017,Sugar,Equity
507315,SAKHTISUG,SAKTHI SUGARS LTD.,Active,B ,10.00,INE623A01011,Sugar,Equity
507442,DHARSUGAR,DHARANI SUGARS &amp; CHEMICALS LTD.,Active,B ,10.00,INE988C01014,Sugar,Equity
507450,THIRUSUGAR,THIRU AROORAN SUGARS LTD.,Active,B ,10.00,INE409A01015,Sugar,Equity
507490,RANASUG,RANA SUGARS LTD.,Active,B ,10.00,INE625B01014,Sugar,Equity
507498,PICCASUG,PICCADILY SUGAR &amp; ALLIED INDUSTRIES LTD.,Active,XD,10.00,INE544C01023,Sugar,Equity
507506,GIRDSGA,GIRDHARILAL SUGAR &amp; ALLIED INDUSTRIES LTD.,Active,P ,10.00,INE310M01010,Sugar,Equity
507508,RIGASUG,RIGA SUGAR COMPANY LTD.-$,Active,XD,10.00,INE909C01010,Sugar,Equity
523369,DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$,Active,XC,10.00,INE843D01019,Sugar,Equity
523371,MAWANASUG,MAWANA SUGARS LTD.,Active,B ,10.00,INE636A01039,Sugar,Equity
530305,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,Active,XD,10.00,INE546C01010,Sugar,Equity
530363,UGARSUGAR,UGAR SUGAR WORKS LTD.-$,Active,B ,1.00,INE071E01023,Sugar,Equity
530505,UPERGANGES,UPPER GANGES SUGAR &amp; INDUSTRIES LTD.,Active,B ,10.00,INE018B01012,Sugar,Equity
531065,OSWALOR,OSWAL OVERSEAS LTD.,Active,XT,10.00,INE906K01019,Sugar,Equity
531367,DOLLEX,DOLLEX INDUSTRIES LTD.,Active,XD,5.00,INE892A01020,Sugar,Equity
531923,DHAMPURE,DHAMPURE SPECIALITY SUGARS LTD.,Active,XT,10.00,INE956B01013,Sugar,Equity
532102,SBECSUG,SBEC SUGAR LTD.,Active,XT,10.00,INE948G01019,Sugar,Equity
532183,GAYATRI,GAYATRI SUGARS LTD.,Active,XD,10.00,INE622E01023,Sugar,Equity
532356,TRIVENI,TRIVENI ENGINEERING &amp; INDUSTRIES LTD.,Active,B ,1.00,INE256C01024,Sugar,Equity
532460,PONNIERODE,PONNI SUGARS (ERODE) LTD.,Active,B ,10.00,INE838E01017,Sugar,Equity
532610,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,B ,10.00,INE366A01033,Sugar,Equity
532670,RENUKA,SHREE RENUKA SUGARS LTD.,Active,A ,1.00,INE087H01022,Sugar,Equity
532673,KMSUGAR,K.M.SUGAR MILLS LTD.,Active,B ,2.00,INE157H01023,Sugar,Equity
532729,UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,Active,B ,10.00,INE786F01031,Sugar,Equity
532879,SSLEL,SIR SHADI LAL ENTERPRISES LTD.,Active,XD,10.00,INE117H01019,Sugar,Equity
533192,KCPSUGIND,KCP SUGAR &amp; INDUSTRIES CORPORATION LTD.,Active,B ,1.00,INE790B01024,Sugar,Equity
