Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,6.46,6.14,6.78,6.14,6.78
05-19-2016,6.78,7.11,7.11,7.11,7.11
05-19-2016,6.78,7.11,7.11,7.11,7.11
05-20-2016,7.11,7.46,7.46,7.35,7.35
05-23-2016,7.11,7.46,7.46,7.35,7.35
05-24-2016,7.11,7.46,7.46,7.35,7.35
05-25-2016,7.11,7.46,7.46,7.35,7.35
05-26-2016,7.11,7.46,7.46,7.35,7.35
05-27-2016,7.11,7.46,7.46,7.35,7.35
05-30-2016,7.11,7.46,7.46,7.35,7.35
05-31-2016,7.35,7.71,7.71,7.71,7.71
06-01-2016,7.35,7.71,7.71,7.71,7.71
06-02-2016,7.35,7.71,7.71,7.71,7.71
06-04-2016,7.71,8.09,8.09,8.09,8.09
06-06-2016,8.09,7.69,8.49,7.69,8.49
06-07-2016,8.09,7.69,8.49,7.69,8.49
06-08-2016,8.09,7.69,8.49,7.69,8.49
06-09-2016,8.09,7.69,8.49,7.69,8.49
06-10-2016,8.09,7.69,8.49,7.69,8.49
06-13-2016,8.09,7.69,8.49,7.69,8.49
06-14-2016,8.09,7.69,8.49,7.69,8.49
06-15-2016,8.49,8.91,8.91,8.07,8.07
06-16-2016,8.49,8.91,8.91,8.07,8.07
06-17-2016,8.07,8.47,8.47,7.67,7.67
06-19-2016,7.67,7.99,7.99,7.99,7.99
06-21-2016,7.99,8.38,8.38,8.38,8.38
06-22-2016,8.38,8.79,8.79,8.79,8.79
06-23-2016,8.38,8.79,8.79,8.79,8.79
06-24-2016,8.79,9.00,9.20,9.00,9.20
06-27-2016,9.20,9.66,9.66,9.66,9.66
06-28-2016,9.20,9.66,9.66,9.66,9.66
06-29-2016,9.20,9.66,9.66,9.66,9.66
06-30-2016,9.20,9.66,9.66,9.66,9.66
07-01-2016,9.66,10.13,10.13,10.13,10.13
07-05-2016,10.13,10.62,10.63,9.64,9.64
07-05-2016,9.64,10.12,10.12,10.12,10.12
07-07-2016,10.12,9.62,9.62,9.62,9.62
07-08-2016,9.62,10.10,10.10,10.10,10.10
07-11-2016,10.10,9.60,10.60,9.60,10.60
07-12-2016,10.10,9.60,10.60,9.60,10.60
