Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.25,4.32,4.32,4.18,4.25
05-19-2016,4.25,4.20,4.25,4.12,4.23
05-20-2016,4.23,4.18,4.29,4.18,4.24
05-20-2016,4.24,4.27,4.34,4.19,4.21
05-23-2016,4.21,4.20,4.25,4.13,4.16
05-24-2016,4.16,4.17,4.17,4.06,4.09
05-25-2016,4.09,4.10,4.15,4.05,4.09
05-26-2016,4.09,4.10,4.20,4.05,4.11
05-27-2016,4.11,4.12,4.20,3.95,3.97
05-30-2016,3.97,3.97,4.00,3.86,3.98
05-31-2016,3.98,3.96,3.97,3.81,3.85
06-01-2016,3.85,3.83,4.05,3.82,3.93
06-02-2016,3.93,3.93,3.97,3.88,3.91
06-04-2016,3.91,3.97,3.97,3.83,3.85
06-06-2016,3.85,3.92,3.92,3.75,3.78
06-07-2016,3.79,3.85,3.90,3.78,3.82
06-08-2016,3.82,3.81,4.14,3.76,4.08
06-09-2016,4.08,4.08,4.14,3.90,3.99
06-10-2016,3.99,3.98,4.22,3.95,4.06
06-13-2016,4.06,4.07,4.22,4.01,4.14
06-14-2016,4.14,4.19,4.54,4.13,4.45
06-15-2016,4.45,4.49,4.64,4.30,4.50
06-16-2016,4.50,5.09,5.40,4.70,5.31
06-17-2016,5.31,5.55,5.67,4.96,5.39
06-19-2016,5.39,5.30,5.31,5.01,5.13
06-21-2016,5.13,5.13,5.28,5.07,5.11
06-22-2016,5.11,5.16,5.22,4.90,4.96
06-23-2016,4.96,4.96,5.00,4.81,4.84
06-24-2016,4.84,4.70,4.86,4.31,4.72
06-27-2016,4.72,4.65,4.86,4.65,4.76
06-28-2016,4.76,4.80,4.92,4.78,4.82
06-29-2016,4.82,4.89,5.25,4.75,5.02
06-30-2016,5.02,5.10,5.23,5.01,5.09
07-01-2016,5.09,5.10,5.19,5.00,5.02
07-05-2016,5.02,4.90,5.20,4.90,5.07
07-05-2016,5.07,5.09,5.15,5.06,5.11
07-08-2016,5.11,5.12,5.47,5.12,5.37
07-08-2016,5.37,5.35,5.50,5.22,5.30
07-11-2016,5.30,5.30,5.45,5.24,5.30
07-12-2016,5.29,5.35,5.40,5.12,5.25
