Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,132.80,129.30,134.10,129.30,134.00
05-19-2016,134.00,130.90,133.00,129.60,132.50
05-20-2016,132.50,131.10,134.50,130.00,134.00
05-20-2016,134.00,131.70,134.80,131.70,132.00
05-23-2016,132.00,133.00,133.00,128.90,129.30
05-24-2016,129.30,129.90,130.00,127.15,129.50
05-25-2016,129.50,117.30,132.05,116.60,130.50
05-26-2016,130.50,127.00,134.40,127.00,131.80
05-27-2016,131.80,127.40,135.95,127.40,134.90
05-30-2016,134.90,132.00,134.00,131.50,131.85
05-31-2016,131.85,133.00,136.50,130.00,135.95
06-01-2016,135.95,136.00,137.85,131.45,134.10
06-02-2016,134.10,134.00,134.85,132.70,133.00
06-04-2016,133.00,135.20,135.20,131.90,131.95
06-06-2016,131.95,133.00,138.45,132.25,132.85
06-07-2016,132.85,133.80,133.80,129.00,129.80
06-08-2016,129.80,131.60,134.60,127.50,127.70
06-09-2016,127.70,130.00,130.80,128.00,129.25
06-10-2016,129.25,130.00,133.90,128.00,128.05
06-13-2016,128.05,130.75,134.00,129.00,132.60
06-14-2016,132.60,136.40,136.40,131.00,132.25
06-15-2016,132.25,132.00,133.70,130.85,131.55
06-16-2016,131.55,131.55,133.00,129.40,129.95
06-17-2016,129.95,126.40,131.00,126.40,130.25
06-19-2016,130.25,132.95,132.95,129.15,130.00
06-21-2016,130.00,129.10,130.90,129.10,130.50
06-22-2016,130.50,129.55,130.55,128.65,130.55
06-23-2016,130.55,127.35,129.40,127.35,128.35
06-24-2016,128.35,126.05,126.05,120.60,124.80
06-27-2016,124.80,125.00,127.35,122.05,122.05
06-28-2016,122.05,127.05,127.05,124.05,124.55
06-29-2016,124.55,128.70,128.95,126.35,128.95
06-30-2016,128.95,132.90,135.00,124.10,133.80
07-01-2016,133.80,130.10,139.90,129.00,135.45
07-05-2016,135.45,135.10,139.00,135.10,137.35
07-05-2016,137.35,139.90,142.00,135.70,141.30
07-07-2016,141.30,142.50,142.50,135.80,139.25
07-08-2016,139.25,139.00,139.00,137.60,139.00
07-11-2016,139.00,140.30,143.00,138.05,140.75
07-12-2016,140.75,142.00,151.35,141.80,150.40
