Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,72.10,72.40,73.35,71.80,72.85

06-08-2016,72.85,72.90,75.50,72.80,74.90
06-09-2016,74.90,74.90,75.75,73.85,74.50
06-10-2016,74.50,75.50,75.85,73.90,74.60
06-13-2016,74.60,74.75,74.75,72.05,72.80
06-14-2016,72.80,73.20,79.80,72.85,78.90
06-15-2016,78.90,79.00,80.35,78.10,79.95
06-16-2016,79.95,78.70,79.75,76.80,78.70
06-17-2016,78.70,79.90,81.15,78.20,78.80
06-19-2016,78.80,77.95,81.00,77.20,79.90
06-21-2016,79.90,80.90,80.90,78.15,78.60
06-22-2016,78.60,79.85,79.85,77.00,77.70
06-23-2016,77.70,78.15,79.30,76.40,78.85
06-24-2016,78.85,76.10,76.10,72.25,74.20
06-27-2016,74.20,74.00,75.95,74.00,75.45
06-28-2016,75.45,75.15,82.50,75.15,81.40
06-29-2016,81.40,82.40,83.70,80.85,83.25
06-30-2016,83.25,83.50,87.15,83.20,86.55
07-01-2016,86.55,87.10,87.15,84.20,84.85
07-05-2016,84.85,85.00,86.70,84.85,86.05
07-05-2016,86.05,85.45,86.35,84.30,84.60
07-07-2016,84.60,84.60,85.10,83.35,83.70
07-08-2016,83.70,83.80,83.80,80.60,81.85
07-11-2016,81.85,82.85,84.25,82.20,83.80
07-12-2016,83.80,85.00,85.00,83.05,83.90
07-13-2016,83.90,83.05,85.30,81.70,82.20
