Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,89.00,90.40,90.50,89.30,89.60

06-08-2016,89.60,89.50,91.00,89.50,90.00
06-09-2016,90.00,90.25,91.40,89.35,90.15
06-10-2016,90.15,90.15,91.00,89.55,90.85
06-13-2016,90.85,89.75,91.70,89.75,90.10
06-14-2016,90.10,89.70,90.15,89.00,89.80
06-15-2016,89.80,91.50,92.20,89.60,90.80
06-16-2016,90.80,89.55,91.00,89.50,89.70
06-17-2016,89.70,89.35,92.00,89.35,91.20
06-19-2016,91.20,91.35,92.50,90.00,90.80
06-21-2016,90.80,90.50,91.85,90.00,90.00
06-22-2016,90.00,91.75,91.75,90.00,90.00
06-23-2016,90.00,91.40,92.00,90.00,91.25
06-24-2016,91.25,88.70,91.65,87.65,88.25
06-27-2016,88.25,91.40,91.40,88.25,90.05
06-28-2016,90.05,90.50,91.50,89.00,89.75
06-29-2016,89.75,91.50,91.70,89.05,91.00
06-30-2016,91.00,90.15,91.60,90.00,91.30
07-01-2016,91.30,92.00,92.00,90.00,90.70
07-05-2016,90.70,91.00,91.80,90.00,91.35
07-05-2016,91.35,92.45,92.50,90.50,91.00
07-07-2016,91.00,91.90,91.90,89.50,90.15
07-08-2016,90.15,90.05,90.85,88.50,90.00
07-11-2016,90.00,91.85,91.85,89.50,89.75
07-12-2016,89.75,91.95,92.00,90.00,90.70
