Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,592.25,595.00,603.90,588.70,590.90
05-19-2016,590.90,585.00,585.35,573.50,581.30
05-20-2016,581.30,579.90,586.50,571.00,572.00
05-20-2016,572.00,570.00,592.90,560.00,585.60
05-23-2016,585.60,590.00,597.20,582.00,587.10
05-24-2016,587.10,582.00,582.50,576.00,577.40
05-25-2016,577.40,585.00,600.00,585.00,598.05
05-26-2016,598.05,604.00,610.00,600.60,603.65
05-27-2016,603.65,614.05,617.75,606.20,607.75
05-30-2016,607.75,610.00,610.00,600.50,605.55
05-31-2016,605.55,609.00,664.90,609.00,649.10
06-01-2016,649.10,649.00,649.20,615.60,616.70
06-02-2016,616.70,617.05,629.75,611.95,621.70
06-04-2016,621.70,625.00,638.00,625.00,632.45
06-06-2016,632.45,630.00,633.00,625.00,626.15
06-07-2016,626.15,620.05,628.05,610.00,613.75
06-08-2016,613.75,617.00,626.10,608.00,615.85
06-09-2016,615.85,614.45,616.50,607.05,612.60
06-10-2016,612.60,605.00,605.00,599.00,600.20
06-13-2016,600.20,597.00,609.95,590.50,603.30
06-14-2016,603.30,601.70,602.00,595.00,599.10
06-15-2016,599.10,600.00,612.00,598.00,605.00
06-16-2016,605.00,599.00,599.00,587.00,593.00
06-17-2016,593.00,595.00,603.00,590.00,593.55
06-19-2016,593.55,590.00,593.00,584.35,586.85
06-21-2016,586.85,589.55,593.50,585.00,587.85
06-22-2016,587.85,592.05,592.95,576.05,582.85
06-23-2016,582.85,576.50,576.50,560.05,567.50
06-24-2016,567.50,540.40,562.95,514.00,559.75
06-27-2016,559.75,568.00,574.95,562.00,566.10
06-28-2016,566.10,569.00,575.00,566.00,567.65
06-29-2016,567.65,576.50,579.90,571.00,574.30
06-30-2016,574.30,580.00,588.00,573.15,576.10
07-01-2016,576.10,590.00,592.60,584.00,587.75
07-05-2016,587.75,598.00,598.00,584.00,584.65
07-05-2016,584.65,582.00,582.90,573.00,576.85
07-08-2016,576.85,579.80,584.65,576.00,577.95
07-08-2016,577.95,583.00,583.70,575.00,576.65
07-11-2016,576.65,574.50,581.00,568.60,573.95
07-12-2016,570.55,569.95,573.00,565.10,570.35
