Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,115.55,116.00,116.20,112.50,112.95
05-19-2016,112.95,112.00,113.00,111.10,111.65
05-20-2016,111.65,112.50,116.70,110.00,111.00
05-20-2016,111.00,112.00,114.55,109.65,110.90
05-23-2016,110.90,111.85,112.45,109.30,110.15
05-24-2016,110.15,110.90,110.90,107.20,107.95
05-25-2016,107.95,108.45,111.30,108.45,109.70
05-26-2016,109.70,110.50,112.65,109.10,112.00
05-27-2016,112.00,113.00,113.50,110.70,111.90
05-30-2016,111.90,111.75,113.05,110.30,112.30
05-31-2016,112.30,114.00,115.35,111.10,114.40
06-01-2016,114.40,114.30,114.40,111.50,112.15
06-02-2016,112.15,112.50,112.85,109.05,109.90
06-04-2016,109.90,111.30,120.00,111.30,115.70
06-06-2016,115.70,116.00,120.95,115.15,116.35
06-07-2016,116.35,117.50,122.00,117.00,121.15
06-08-2016,121.15,121.85,126.90,121.30,123.80
06-09-2016,123.80,124.75,125.70,121.15,123.60
06-10-2016,123.60,125.80,129.70,125.10,128.75
06-13-2016,128.75,127.95,130.10,126.30,127.40
06-14-2016,127.40,129.40,131.10,115.50,121.75
06-15-2016,121.75,122.40,128.00,119.00,123.50
06-16-2016,123.50,124.00,124.75,118.55,120.85
06-17-2016,120.85,122.15,123.20,119.10,119.80
06-19-2016,119.80,119.00,121.45,117.15,120.75
06-21-2016,120.75,121.35,123.50,120.80,122.05
06-22-2016,122.05,122.70,122.90,119.95,121.45
06-23-2016,121.45,121.70,124.20,119.90,121.65
06-24-2016,121.65,119.00,124.65,115.10,123.25
06-27-2016,123.25,123.65,131.95,123.00,128.70
06-28-2016,128.70,130.90,131.30,127.50,129.15
06-29-2016,129.15,130.00,130.90,126.90,127.30
06-30-2016,127.30,129.00,130.20,127.40,128.45
07-01-2016,128.45,128.85,129.35,125.40,125.75
07-05-2016,125.75,125.75,128.10,124.00,126.15
07-05-2016,126.15,126.80,127.70,125.10,125.65
07-08-2016,125.65,126.20,128.60,124.80,125.30
07-08-2016,125.30,126.55,127.80,124.45,127.00
07-11-2016,127.00,128.40,128.95,125.30,125.85
07-12-2016,125.85,126.95,126.95,124.70,125.10
