Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,143.50,157.90,157.90,157.00,157.00
05-19-2016,157.00,147.60,148.90,145.50,147.20
05-20-2016,147.20,146.10,146.10,145.00,145.00
05-20-2016,145.00,156.00,156.00,142.00,150.20
05-23-2016,145.00,156.00,156.00,142.00,150.20
05-24-2016,150.20,145.00,145.00,144.00,144.00
05-25-2016,144.00,154.80,172.80,154.80,172.80
05-26-2016,172.80,187.00,187.90,173.15,176.10
05-27-2016,176.10,184.00,192.50,164.60,175.70
05-30-2016,175.70,181.05,187.95,181.00,181.00
05-31-2016,181.00,178.05,191.90,167.50,190.65
06-01-2016,190.65,180.00,180.00,172.00,172.65
06-02-2016,172.65,172.00,180.00,167.00,172.25
06-04-2016,172.25,170.10,183.00,170.05,182.00
06-06-2016,172.25,170.10,183.00,170.05,182.00
06-07-2016,182.00,170.00,178.90,170.00,170.00
06-08-2016,170.00,170.00,181.80,167.30,171.95
06-09-2016,170.00,170.00,181.80,167.30,171.95
06-10-2016,171.95,174.00,180.00,170.10,174.60
06-13-2016,174.60,188.00,188.00,170.50,177.95
06-14-2016,174.60,188.00,188.00,170.50,177.95
06-15-2016,174.60,188.00,188.00,170.50,177.95
06-16-2016,177.95,179.00,185.00,175.00,176.00
06-17-2016,176.00,172.00,190.00,166.00,187.70
06-19-2016,187.70,182.00,182.00,177.00,177.00
06-21-2016,177.00,170.00,175.50,167.00,175.50
06-22-2016,175.50,185.00,185.00,184.90,184.95
06-23-2016,184.95,188.00,188.00,175.30,177.50
06-24-2016,177.50,165.00,174.00,156.00,174.00
06-27-2016,174.00,174.00,174.00,167.65,171.10
06-28-2016,171.10,177.95,182.00,177.95,181.30
06-29-2016,181.30,177.55,177.55,177.55,177.55
06-30-2016,181.30,177.55,177.55,177.55,177.55
07-01-2016,177.55,180.10,180.10,180.10,180.10
07-05-2016,180.10,176.05,185.00,176.05,184.30
07-05-2016,180.10,176.05,185.00,176.05,184.30
07-07-2016,184.30,188.00,190.00,184.60,184.60
07-08-2016,184.60,190.00,195.00,186.00,190.00
07-11-2016,190.00,195.80,228.00,190.05,222.40
07-12-2016,222.40,227.00,227.00,204.90,210.10
