Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,57.15,64.95,64.95,56.45,59.50
05-19-2016,59.50,63.40,63.40,56.20,57.40
05-20-2016,57.40,55.20,58.15,50.20,51.10
05-20-2016,51.10,48.30,53.75,48.30,50.15
05-23-2016,50.15,49.55,51.70,48.05,50.80
05-24-2016,50.80,48.55,49.95,48.50,48.50
05-25-2016,48.50,50.00,50.00,48.55,49.70
05-26-2016,49.70,59.00,59.00,50.00,51.00
05-27-2016,51.00,51.00,53.00,50.65,52.00
05-30-2016,52.00,54.00,54.00,49.00,49.05
05-31-2016,49.05,54.90,54.90,47.60,48.70
06-01-2016,48.70,50.95,50.95,46.20,47.00
06-02-2016,47.00,46.20,48.00,42.00,45.00
06-04-2016,45.00,44.15,44.15,43.50,43.60
06-06-2016,43.60,40.55,44.70,40.55,42.50
06-07-2016,42.70,43.00,43.00,41.50,41.55
06-08-2016,41.55,45.75,45.75,40.00,41.75
06-09-2016,41.75,43.70,43.70,41.70,41.95
06-10-2016,41.95,45.00,46.00,42.20,42.50
06-13-2016,42.50,45.85,45.85,42.70,42.70
06-14-2016,42.70,42.85,42.85,42.85,42.85
06-15-2016,42.85,39.60,44.00,39.50,40.30
06-16-2016,40.30,40.10,42.85,40.10,41.50
06-17-2016,41.50,41.65,42.85,41.50,42.25
06-19-2016,42.25,42.95,47.00,42.95,46.20
06-21-2016,46.20,44.60,46.65,44.10,44.65
06-22-2016,44.65,43.35,44.95,43.30,43.75
06-23-2016,43.75,40.50,44.50,40.50,43.70
06-24-2016,43.70,40.65,43.00,40.65,42.10
06-27-2016,42.10,44.00,44.00,41.75,43.00
06-28-2016,43.00,40.65,43.50,40.60,42.80
06-29-2016,42.80,42.80,45.00,42.50,44.45
06-30-2016,44.45,44.00,46.30,44.00,45.50
07-01-2016,45.50,45.00,48.00,45.00,47.00
07-05-2016,47.00,48.90,49.00,47.45,48.00
07-05-2016,48.00,48.05,48.10,45.00,46.90
07-08-2016,46.90,45.50,46.95,45.35,45.40
07-08-2016,45.40,45.20,46.00,45.00,45.05
07-11-2016,45.05,44.00,48.00,44.00,47.70
07-12-2016,47.30,46.00,47.70,46.00,47.70
