Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,45.05,44.65,45.00,44.45,44.50
05-19-2016,44.50,43.20,44.95,43.20,43.80
05-20-2016,43.80,44.05,44.90,43.10,43.15
05-21-2016,43.15,43.15,44.00,40.10,42.35
05-23-2016,42.35,42.20,42.20,41.30,41.30
05-24-2016,41.30,42.00,43.50,42.00,43.50
05-25-2016,43.50,43.80,47.40,42.80,43.40
05-26-2016,43.40,42.65,44.00,42.65,43.80
05-27-2016,43.80,43.15,43.40,43.00,43.40
05-30-2016,43.40,43.05,43.35,42.85,43.35
05-31-2016,43.35,43.30,43.35,43.00,43.00
06-01-2016,43.00,43.40,43.50,42.50,42.50
06-02-2016,42.50,42.85,44.10,42.00,44.00
06-04-2016,44.00,43.15,48.00,42.15,47.30
06-06-2016,47.30,55.00,56.75,54.00,56.75
06-07-2016,56.75,58.50,59.75,55.15,55.45
06-08-2016,55.45,55.50,55.50,53.10,53.45
06-09-2016,53.45,52.10,56.80,52.10,53.45
06-10-2016,53.45,54.00,54.05,52.50,53.00
06-13-2016,53.00,51.85,53.00,51.50,52.50
06-14-2016,52.50,53.00,54.95,52.50,53.10
06-15-2016,53.10,53.50,54.10,53.05,53.95
06-16-2016,53.95,53.30,54.00,52.40,53.25
06-17-2016,53.25,53.00,53.90,53.00,53.00
06-19-2016,53.00,53.80,53.90,52.70,53.80
06-21-2016,53.80,52.00,56.00,52.00,54.00
06-22-2016,54.00,53.50,53.90,52.50,52.60
06-23-2016,52.60,52.50,52.95,51.80,52.00
06-24-2016,52.00,51.75,53.10,50.00,52.85
06-27-2016,52.85,53.70,54.65,52.75,53.75
06-28-2016,53.75,52.65,54.90,52.60,53.25
06-29-2016,53.25,53.00,56.00,53.00,53.90
06-30-2016,53.90,54.25,58.00,54.25,55.70
07-01-2016,55.70,56.10,57.00,55.40,56.70
07-05-2016,56.70,55.95,58.20,55.95,58.00
07-05-2016,58.00,60.00,63.00,59.20,60.20
07-08-2016,60.20,61.00,65.60,60.65,63.65
07-08-2016,63.65,62.05,63.75,62.05,63.45
07-11-2016,63.45,63.90,65.30,63.20,64.00
07-12-2016,64.00,62.20,63.00,59.80,60.20
