Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.92,3.96,3.98,3.86,3.92
05-19-2016,3.92,4.00,4.02,3.90,3.91
05-20-2016,3.91,3.96,3.96,3.90,3.92
05-21-2016,3.92,3.92,3.97,3.86,3.88
05-23-2016,3.88,3.96,3.96,3.82,3.87
05-24-2016,3.87,3.86,3.87,3.73,3.79
05-25-2016,3.79,3.77,3.93,3.77,3.82
05-26-2016,3.82,3.76,3.87,3.76,3.82
05-27-2016,3.82,3.84,4.02,3.84,3.97
05-30-2016,3.97,3.97,3.99,3.81,3.86
05-31-2016,3.86,3.73,3.82,3.53,3.68
06-01-2016,3.68,3.75,3.75,3.65,3.66
06-02-2016,3.66,3.65,3.72,3.50,3.63
06-04-2016,3.63,3.62,3.62,3.32,3.45
06-06-2016,3.45,3.44,3.47,3.35,3.43
06-07-2016,3.43,3.40,3.44,2.86,3.17
06-08-2016,3.17,3.11,3.30,3.11,3.23
06-09-2016,3.23,3.16,3.26,3.14,3.21
06-10-2016,3.21,3.22,3.85,3.15,3.85
06-13-2016,3.85,3.85,3.98,3.60,3.71
06-14-2016,3.71,3.83,4.30,3.83,4.22
06-15-2016,4.22,4.30,4.39,4.05,4.10
06-16-2016,4.10,4.10,4.10,3.81,3.97
06-17-2016,3.97,4.00,4.05,3.86,3.89
06-19-2016,3.89,3.86,4.38,3.82,4.25
06-21-2016,4.25,4.24,4.63,4.06,4.54
06-22-2016,4.54,4.59,4.88,4.43,4.61
06-23-2016,4.61,4.68,4.68,4.37,4.40
06-24-2016,4.40,4.22,4.36,3.96,4.27
06-27-2016,4.27,4.25,4.57,4.25,4.49
06-28-2016,4.49,4.57,4.60,4.28,4.35
06-29-2016,4.35,4.42,4.46,4.30,4.34
06-30-2016,4.34,4.35,4.48,4.27,4.38
07-01-2016,4.38,4.42,4.42,4.23,4.29
07-05-2016,4.29,4.29,4.40,4.23,4.33
07-05-2016,4.33,4.28,4.57,4.26,4.36
07-08-2016,4.36,4.35,4.54,4.35,4.41
07-08-2016,4.41,4.41,4.43,4.30,4.33
07-11-2016,4.33,4.40,4.46,4.33,4.38
07-12-2016,4.38,4.40,4.42,3.83,4.16
