Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,28.70,29.75,30.10,29.00,30.10
05-19-2016,30.10,31.50,31.60,30.25,31.60
05-19-2016,31.60,32.50,33.15,32.50,33.15
05-20-2016,33.15,34.80,34.80,34.80,34.80
05-23-2016,34.80,36.50,36.50,36.50,36.50
05-24-2016,36.50,37.15,37.15,34.70,34.70
05-25-2016,34.70,33.00,33.00,33.00,33.00
05-26-2016,33.00,31.35,34.20,31.35,33.05
05-27-2016,33.05,33.00,34.45,32.05,32.95
05-30-2016,32.95,31.45,32.00,31.35,31.35
05-31-2016,31.35,29.80,31.45,29.80,30.65
06-01-2016,30.65,30.20,32.15,30.10,32.15
06-02-2016,32.15,32.90,33.00,31.00,31.10
06-04-2016,31.10,30.50,31.80,30.00,30.05
06-06-2016,30.05,31.40,31.40,29.20,29.95
06-07-2016,29.95,29.15,30.60,29.10,29.45
06-08-2016,29.45,28.60,30.20,28.60,29.15
06-09-2016,29.15,29.00,30.25,29.00,29.70
06-10-2016,29.70,29.00,29.55,28.50,28.95
06-13-2016,28.95,28.50,28.60,27.60,27.70
06-14-2016,27.70,27.00,28.50,27.00,27.55
06-15-2016,27.55,27.90,27.95,27.05,27.45
06-16-2016,27.45,26.55,28.60,26.55,28.25
06-17-2016,28.25,27.65,29.65,27.65,29.65
06-19-2016,29.65,29.65,30.30,28.30,29.30
06-21-2016,29.30,28.80,29.00,28.55,28.75
06-22-2016,28.75,29.00,29.40,27.90,28.15
06-23-2016,28.15,27.80,28.75,27.80,28.30
06-24-2016,28.30,27.50,27.50,26.90,27.45
06-27-2016,27.45,27.90,28.80,27.50,28.80
06-28-2016,28.80,30.20,30.20,28.50,29.80
06-29-2016,29.80,30.95,30.95,29.05,29.40
06-30-2016,29.40,29.00,29.75,28.40,29.75
07-01-2016,29.75,29.60,30.00,29.00,29.30
07-05-2016,29.30,29.40,30.30,28.60,29.90
07-05-2016,29.90,30.00,30.25,29.00,29.35
07-07-2016,29.35,29.80,29.80,29.05,29.65
07-08-2016,29.65,29.15,29.60,28.50,29.20
07-11-2016,29.20,29.00,30.00,28.65,29.60
07-12-2016,29.60,29.10,29.65,28.50,28.85
07-13-2016,28.85,28.90,29.45,27.90,28.35
