Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,359.50,361.90,370.00,358.00,366.90

06-08-2016,366.90,368.15,376.75,366.20,375.00
06-09-2016,375.00,377.85,377.90,368.00,372.65
06-10-2016,372.65,372.00,373.60,361.05,365.65
06-13-2016,365.65,364.30,379.90,364.15,368.25
06-14-2016,368.25,371.40,377.10,367.90,369.95
06-15-2016,369.95,373.00,380.00,367.50,369.05
06-16-2016,369.05,373.50,374.80,362.20,364.65
06-17-2016,364.65,367.00,369.30,355.40,357.10
06-19-2016,357.10,356.60,360.00,348.55,349.95
06-21-2016,349.95,346.90,353.30,346.40,351.95
06-22-2016,351.95,355.00,356.25,349.95,351.00
06-23-2016,351.00,349.55,352.50,347.00,351.35
06-24-2016,351.35,344.05,353.00,331.00,350.35
06-27-2016,350.35,353.65,353.65,343.00,345.70
06-28-2016,345.70,349.00,353.00,344.00,345.65
06-29-2016,345.65,347.55,357.00,346.00,354.00
06-30-2016,354.00,356.00,360.00,353.10,354.85
07-01-2016,354.85,356.05,364.00,353.70,360.85
07-05-2016,360.85,362.00,364.25,350.70,353.30
07-05-2016,353.30,355.95,358.00,351.00,356.95
07-07-2016,356.95,357.00,360.00,355.40,358.95
07-08-2016,358.95,356.40,360.50,350.50,357.50
07-11-2016,357.50,364.00,372.00,364.00,367.75
07-12-2016,367.75,369.30,372.00,345.50,363.70
