Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,5.06,5.06,5.06,5.06,5.06
05-19-2016,5.06,4.82,4.82,4.82,4.82
05-20-2016,4.82,4.60,4.60,4.60,4.60
05-21-2016,4.60,4.38,4.38,4.38,4.38
05-23-2016,4.38,4.18,4.18,4.18,4.18
05-24-2016,4.18,3.99,3.99,3.99,3.99
05-25-2016,4.18,3.99,3.99,3.99,3.99
05-26-2016,4.18,3.99,3.99,3.99,3.99
05-27-2016,4.18,3.99,3.99,3.99,3.99
05-30-2016,4.18,3.99,3.99,3.99,3.99
05-31-2016,4.18,3.99,3.99,3.99,3.99
06-01-2016,4.18,3.99,3.99,3.99,3.99
06-02-2016,4.18,3.99,3.99,3.99,3.99
06-04-2016,4.18,3.99,3.99,3.99,3.99
06-06-2016,3.99,3.99,3.99,3.99,3.99
06-07-2016,3.99,3.99,3.99,3.99,3.99
06-08-2016,3.99,3.80,3.80,3.80,3.80
06-09-2016,3.99,3.80,3.80,3.80,3.80
06-10-2016,3.80,3.62,3.62,3.62,3.62
06-13-2016,3.62,3.44,3.44,3.44,3.44
06-14-2016,3.44,3.28,3.28,3.28,3.28
06-15-2016,3.28,3.13,3.13,3.13,3.13
06-16-2016,3.13,2.99,2.99,2.99,2.99
06-17-2016,2.99,2.91,2.91,2.91,2.91
06-19-2016,2.91,2.81,2.81,2.81,2.81
06-21-2016,2.91,2.81,2.81,2.81,2.81
06-22-2016,2.91,2.81,2.81,2.81,2.81
06-23-2016,2.91,2.81,2.81,2.81,2.81
06-24-2016,2.91,2.81,2.81,2.81,2.81
06-27-2016,2.91,2.81,2.81,2.81,2.81
06-28-2016,2.91,2.81,2.81,2.81,2.81
06-29-2016,2.91,2.81,2.81,2.81,2.81
06-30-2016,2.91,2.81,2.81,2.81,2.81
07-01-2016,2.81,2.68,2.68,2.68,2.68
07-05-2016,2.68,2.56,2.56,2.56,2.56
07-05-2016,2.56,2.45,2.45,2.45,2.45
07-08-2016,2.45,2.34,2.34,2.34,2.34
07-08-2016,2.45,2.34,2.34,2.34,2.34
07-11-2016,2.34,2.24,2.24,2.24,2.24
07-12-2016,2.24,2.14,2.14,2.14,2.14
