Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,216.80,217.95,218.55,215.30,216.90
05-19-2016,216.90,215.50,217.10,214.40,216.40
05-19-2016,216.40,217.00,217.00,212.05,213.65
05-20-2016,213.65,214.95,214.95,207.40,209.15
05-23-2016,209.15,211.00,213.70,208.95,212.70
05-24-2016,212.70,212.00,216.80,212.00,215.45
05-25-2016,215.45,217.00,223.90,217.00,222.50
05-26-2016,222.50,224.00,229.00,223.75,224.70
05-27-2016,224.70,226.10,231.50,226.00,229.40
05-30-2016,229.40,232.00,232.90,228.20,228.75
05-31-2016,228.75,228.75,232.20,227.55,228.70
06-01-2016,228.70,227.00,232.05,227.00,230.90
06-02-2016,230.90,230.95,231.45,228.45,229.50
06-04-2016,229.50,230.05,233.60,227.75,228.20
06-06-2016,228.20,229.50,231.80,228.10,229.20
06-07-2016,229.20,230.00,235.50,228.55,234.35
06-08-2016,234.35,236.00,239.00,233.25,237.95
06-09-2016,237.95,239.80,240.00,232.00,232.50
06-10-2016,232.50,231.00,235.80,231.00,234.75
06-13-2016,234.75,233.90,237.50,231.80,235.70
06-14-2016,235.70,237.95,237.95,233.05,233.80
06-15-2016,233.80,234.20,239.00,234.20,237.85
06-16-2016,237.85,238.80,239.25,234.00,234.50
06-17-2016,234.50,235.80,237.10,233.50,235.40
06-19-2016,235.40,231.50,242.00,231.50,241.35
06-21-2016,241.35,242.60,242.60,238.05,240.25
06-22-2016,240.25,239.95,243.55,239.20,242.00
06-23-2016,242.00,242.50,250.20,242.50,248.85
06-24-2016,248.85,244.00,249.45,238.00,248.30
06-27-2016,248.30,248.15,254.80,248.15,254.00
06-28-2016,254.00,250.00,255.30,250.00,251.90
06-29-2016,251.90,250.20,258.40,250.20,255.65
06-30-2016,255.65,256.40,257.30,252.65,254.35
07-01-2016,254.35,254.00,257.30,252.10,252.90
07-05-2016,252.90,254.10,255.65,252.20,252.90
07-05-2016,252.90,250.10,255.70,250.10,253.20
07-07-2016,253.20,255.00,258.70,253.05,257.00
07-08-2016,257.00,257.70,260.95,256.50,257.65
07-11-2016,257.65,259.05,261.35,259.05,260.20
07-12-2016,260.20,259.80,263.85,259.25,260.65
07-13-2016,260.65,260.50,261.30,259.00,260.55
