Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,19.25,19.85,19.85,18.65,18.75
05-19-2016,18.75,19.50,19.65,18.00,18.20
05-19-2016,18.20,19.05,19.05,17.50,18.10
05-20-2016,18.10,19.00,19.00,18.10,18.10
05-23-2016,18.10,19.00,19.00,18.85,19.00
05-24-2016,19.00,19.95,19.95,19.00,19.25
05-25-2016,19.25,20.20,20.20,19.75,19.75
05-26-2016,19.75,20.65,20.65,19.00,20.45
05-27-2016,20.45,20.95,20.95,19.45,19.45
05-30-2016,19.45,20.40,20.40,18.70,19.20
05-31-2016,19.20,20.15,20.15,18.55,19.70
06-01-2016,19.70,20.25,20.25,18.75,18.75
06-02-2016,18.75,19.60,19.60,18.40,19.45
06-04-2016,19.45,18.60,19.40,18.60,19.40
06-06-2016,19.40,18.60,19.40,18.60,19.00
06-07-2016,19.00,18.60,18.60,18.50,18.50
06-08-2016,18.50,19.20,19.40,18.00,19.35
06-09-2016,19.35,20.00,20.00,18.65,19.35
06-10-2016,19.35,20.00,20.00,18.50,19.20
06-13-2016,19.20,19.70,19.80,18.25,19.65
06-14-2016,19.65,20.00,20.60,19.00,20.40
06-15-2016,20.40,21.35,21.35,19.75,20.90
06-16-2016,20.90,21.50,21.50,19.90,19.95
06-17-2016,19.95,20.60,20.60,19.10,20.60
06-19-2016,20.60,19.80,21.00,19.60,20.00
06-21-2016,20.00,20.70,20.70,19.00,20.00
06-22-2016,20.00,19.50,20.50,19.15,19.20
06-23-2016,19.20,20.00,20.00,19.20,20.00
06-24-2016,20.00,19.00,19.95,19.00,19.90
06-27-2016,19.90,19.00,19.90,19.00,19.50
06-28-2016,19.50,19.00,19.90,18.75,19.80
06-29-2016,19.80,20.00,20.00,19.15,19.90
06-30-2016,19.90,19.50,20.55,19.05,19.75
07-01-2016,19.75,20.70,20.70,19.50,20.00
07-05-2016,20.00,21.00,21.00,20.00,20.05
07-05-2016,20.05,20.95,20.95,19.30,20.10
07-07-2016,20.10,21.10,21.10,19.35,19.55
07-08-2016,19.55,20.40,20.40,19.50,20.30
07-11-2016,20.30,20.50,20.75,20.10,20.50
07-12-2016,20.50,21.20,21.25,20.85,20.95
