Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,125.40,124.00,127.00,124.00,125.10
05-19-2016,125.10,127.90,127.90,120.00,123.80
05-19-2016,123.80,130.90,133.00,126.00,129.80
05-20-2016,129.80,131.00,131.70,127.20,127.70
05-23-2016,127.70,134.00,134.00,125.00,126.95
05-24-2016,126.95,120.00,127.80,120.00,125.60
05-25-2016,125.60,125.20,129.50,125.20,129.05
05-26-2016,129.05,120.00,131.55,120.00,128.95
05-27-2016,128.95,127.55,130.90,127.55,129.70
05-30-2016,129.70,130.00,131.40,128.00,129.20
05-31-2016,129.20,129.50,135.50,122.00,129.00
06-01-2016,129.00,123.60,131.90,123.60,130.10
06-02-2016,130.10,130.90,134.00,129.95,133.35
06-04-2016,133.35,134.50,134.50,130.00,130.15
06-06-2016,130.15,130.00,134.90,129.00,134.30
06-07-2016,133.05,133.30,142.00,133.30,140.45
06-08-2016,140.45,145.90,145.90,140.50,143.60
06-09-2016,143.60,144.90,154.90,142.00,152.40
06-10-2016,152.40,155.00,165.00,152.60,160.85
06-13-2016,160.85,156.00,169.80,155.00,166.50
06-14-2016,166.50,169.90,171.00,159.00,162.95
06-15-2016,162.95,162.00,166.50,160.40,162.45
06-16-2016,162.45,160.00,160.00,150.30,156.70
06-17-2016,156.70,158.00,158.80,152.00,157.45
06-19-2016,157.45,150.00,159.00,150.00,152.75
06-21-2016,152.75,154.50,157.90,146.50,151.05
06-22-2016,151.05,154.00,162.00,148.50,150.15
06-23-2016,150.15,148.00,154.90,147.60,153.60
06-24-2016,153.60,142.80,150.50,142.80,149.85
06-27-2016,149.85,152.00,152.50,148.00,151.10
06-28-2016,151.10,159.90,159.90,148.00,150.50
06-29-2016,150.50,155.00,155.00,149.50,150.75
06-30-2016,150.75,150.20,152.00,148.50,151.45
07-01-2016,151.45,153.00,165.00,151.50,162.15
07-05-2016,162.15,173.00,173.00,153.00,159.15
07-05-2016,159.15,155.00,164.00,155.00,159.95
07-07-2016,159.95,155.00,168.90,155.00,167.10
07-08-2016,167.10,172.90,174.95,166.30,173.75
07-11-2016,173.75,195.00,200.00,180.60,185.90
07-12-2016,185.90,190.00,194.40,183.10,185.60
