Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,49.50,50.00,50.70,49.60,50.30
05-19-2016,50.30,50.30,51.25,49.60,50.95
05-19-2016,50.95,50.00,50.80,48.75,48.95
05-20-2016,48.95,48.95,49.10,47.35,47.60
05-23-2016,47.60,47.10,47.90,46.50,46.65
05-24-2016,46.65,45.85,46.75,44.80,45.35
05-25-2016,45.35,45.50,47.15,45.50,46.90
05-26-2016,46.90,47.00,48.15,46.15,47.85
05-27-2016,47.85,47.00,49.30,47.00,48.50
05-30-2016,48.50,49.35,49.55,48.50,48.95
05-31-2016,48.95,49.00,50.65,47.90,50.20
06-01-2016,50.20,50.55,50.95,48.40,48.65
06-02-2016,48.65,48.60,49.35,48.05,49.05
06-04-2016,49.05,49.10,49.65,48.00,48.15
06-06-2016,48.15,48.10,49.25,48.00,48.90
06-07-2016,48.90,49.00,49.95,48.70,49.35
06-08-2016,49.35,48.75,50.65,48.75,50.25
06-09-2016,50.25,51.25,52.10,50.75,51.30
06-10-2016,51.30,51.20,52.40,50.75,50.95
06-13-2016,50.95,50.85,50.85,49.30,50.00
06-14-2016,50.00,50.20,51.55,50.05,51.30
06-15-2016,51.30,51.95,52.50,51.50,51.95
06-16-2016,51.95,51.55,54.80,50.55,54.25
06-17-2016,54.25,55.50,55.50,53.60,54.55
06-19-2016,54.55,53.90,56.00,53.15,55.30
06-21-2016,55.30,55.90,56.25,54.65,54.95
06-22-2016,54.95,54.95,55.90,54.25,54.60
06-23-2016,54.60,54.50,55.65,54.10,55.25
06-24-2016,55.25,53.50,53.95,50.60,53.20
06-27-2016,53.20,53.00,55.55,53.00,54.90
06-28-2016,54.90,54.80,55.90,54.80,55.45
06-29-2016,55.45,55.90,56.50,55.50,55.70
06-30-2016,55.70,56.40,57.25,55.70,56.60
07-01-2016,56.60,58.50,58.50,56.60,57.50
07-05-2016,57.50,58.00,60.75,57.85,60.25
07-05-2016,60.25,61.00,62.00,60.35,60.75
07-07-2016,60.75,60.80,62.00,60.35,60.75
07-08-2016,60.75,60.75,60.75,59.05,60.35
07-11-2016,60.35,62.00,63.00,61.25,62.75
07-12-2016,62.75,63.20,63.50,61.90,62.50
07-13-2016,62.50,62.10,62.25,60.00,60.95
