Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.83,7.75,7.99,7.55,7.70
05-19-2016,7.70,7.73,8.45,7.56,8.31
05-19-2016,8.31,8.41,8.44,8.00,8.17
05-20-2016,8.17,8.44,8.44,7.92,8.03
05-23-2016,8.03,7.90,8.00,7.75,7.91
05-24-2016,7.91,8.20,8.20,7.61,7.74
05-25-2016,7.74,7.81,7.98,7.50,7.61
05-26-2016,7.61,7.40,7.90,7.40,7.76
05-27-2016,7.76,7.84,7.91,7.67,7.76
05-30-2016,7.76,7.75,7.75,7.46,7.51
05-31-2016,7.51,7.60,7.64,7.30,7.40
06-01-2016,7.40,7.54,7.65,7.30,7.31
06-02-2016,7.31,7.32,7.50,7.25,7.34
06-04-2016,7.34,7.40,7.50,7.15,7.46
06-06-2016,7.46,7.80,7.80,7.20,7.40
06-07-2016,7.40,7.30,7.39,7.00,7.08
06-08-2016,7.08,7.20,7.99,6.90,7.65
06-09-2016,7.65,7.79,7.80,7.22,7.60
06-10-2016,7.60,7.75,7.80,7.27,7.58
06-13-2016,7.58,7.50,7.70,7.30,7.51
06-14-2016,7.51,7.50,8.55,7.46,8.29
06-15-2016,8.29,8.45,8.47,8.10,8.21
06-16-2016,8.21,8.33,8.33,7.85,7.95
06-17-2016,7.95,8.00,8.18,7.85,7.89
06-19-2016,7.89,7.56,7.98,7.56,7.85
06-21-2016,7.85,7.91,8.05,7.80,7.81
06-22-2016,7.81,7.81,7.99,7.71,7.72
06-23-2016,7.72,7.75,7.80,7.61,7.66
06-24-2016,7.66,7.31,7.62,7.30,7.42
06-27-2016,7.42,7.42,8.05,7.42,7.85
06-28-2016,7.85,7.85,8.40,7.82,8.13
06-29-2016,8.13,8.15,8.89,8.15,8.60
06-30-2016,8.60,8.74,8.80,8.50,8.57
07-01-2016,8.57,8.60,8.70,7.77,7.95
07-05-2016,7.95,8.30,8.30,7.90,7.92
07-05-2016,7.92,7.92,8.65,7.92,8.19
07-07-2016,8.19,8.42,8.49,8.19,8.28
07-08-2016,8.28,8.20,8.30,8.05,8.08
07-11-2016,8.08,8.49,8.50,8.05,8.25
07-12-2016,8.12,8.15,8.33,8.07,8.12
07-13-2016,8.12,8.47,8.47,8.00,8.09
