Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,473.90,477.00,490.00,473.20,475.10
05-19-2016,475.10,473.10,521.20,468.60,508.40
05-20-2016,508.40,505.00,511.60,485.20,491.40
05-21-2016,491.40,489.00,504.40,480.10,485.40
05-23-2016,485.40,484.50,499.90,462.40,486.60
05-24-2016,486.60,490.00,499.90,486.05,497.75
05-25-2016,497.75,500.00,503.00,481.00,487.50
05-26-2016,487.50,502.10,516.00,488.70,490.75
05-27-2016,490.75,497.00,510.00,485.00,489.95
05-30-2016,489.95,496.00,496.00,475.70,483.70
05-31-2016,483.70,489.80,491.00,484.00,489.05
06-01-2016,489.05,490.00,514.00,487.00,506.20
06-02-2016,506.20,539.00,539.00,500.55,504.80
06-04-2016,504.80,505.00,525.00,500.15,501.70
06-06-2016,501.70,500.00,519.00,496.00,514.95
06-07-2016,514.95,524.00,524.00,510.00,516.50
06-08-2016,516.50,520.00,520.00,507.00,513.55
06-09-2016,513.55,514.40,530.00,510.00,513.95
06-10-2016,513.95,515.40,524.95,505.30,519.10
06-13-2016,519.10,514.60,518.00,511.00,517.40
06-14-2016,517.40,520.00,522.90,516.00,521.05
06-15-2016,521.05,522.00,522.00,516.00,518.75
06-16-2016,518.75,520.00,522.90,515.15,521.45
06-17-2016,521.45,517.10,522.15,517.00,519.40
06-19-2016,519.40,515.00,520.00,515.00,517.85
06-21-2016,517.85,517.00,520.05,516.25,517.20
06-22-2016,517.20,518.20,520.00,512.00,516.00
06-23-2016,516.00,515.00,520.00,509.00,515.00
06-24-2016,515.00,498.75,503.55,494.00,499.65
06-27-2016,499.65,498.00,545.00,496.05,527.35
06-28-2016,527.35,530.00,536.00,518.05,521.95
06-29-2016,521.95,523.10,562.10,521.00,542.50
06-30-2016,542.50,549.40,551.45,535.00,536.95
07-01-2016,536.95,543.00,558.50,528.05,529.80
07-05-2016,529.80,531.00,539.00,529.40,531.50
07-05-2016,531.50,529.00,530.45,519.05,521.25
07-08-2016,521.25,520.15,527.80,513.30,514.70
07-08-2016,514.70,531.50,531.50,518.80,523.60
07-11-2016,523.60,523.80,532.00,518.00,529.15
07-12-2016,529.15,524.00,530.15,517.00,519.25
