Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,299.30,300.00,300.00,288.50,291.70
05-19-2016,291.70,294.00,294.00,284.00,285.90
05-20-2016,285.90,288.00,294.30,285.40,287.20
05-21-2016,287.20,285.30,287.00,280.00,280.70
05-23-2016,280.70,283.00,284.00,280.00,281.75
05-24-2016,281.75,280.00,282.00,274.00,276.05
05-25-2016,276.05,280.00,280.00,276.00,278.05
05-26-2016,278.05,274.10,277.00,274.00,274.35
05-27-2016,274.35,275.55,289.00,275.55,284.40
05-30-2016,284.40,286.00,291.00,286.00,289.40
05-31-2016,289.40,292.10,330.95,292.10,327.60
06-01-2016,327.60,320.00,368.40,320.00,347.55
06-02-2016,347.55,346.00,354.00,334.30,350.85
06-04-2016,350.85,354.00,367.00,351.00,352.45
06-06-2016,352.45,353.20,398.00,353.20,375.65
06-07-2016,375.65,375.10,393.90,372.40,380.45
06-08-2016,380.45,383.00,387.00,372.00,374.10
06-09-2016,374.10,371.00,372.30,361.00,361.35
06-10-2016,361.35,363.00,364.95,347.00,350.55
06-13-2016,350.55,350.00,357.25,345.00,346.35
06-14-2016,346.35,347.00,369.05,347.00,361.10
06-15-2016,361.10,364.85,369.90,359.40,365.30
06-16-2016,365.30,365.00,367.95,350.10,354.35
06-17-2016,354.35,356.00,382.15,356.00,363.35
06-19-2016,363.35,360.00,360.00,347.00,349.35
06-21-2016,349.35,350.00,362.00,345.30,350.30
06-22-2016,350.30,353.00,353.90,333.05,339.90
06-23-2016,339.90,340.00,350.00,335.00,346.75
06-24-2016,346.75,339.50,350.00,327.45,348.15
06-27-2016,348.15,348.45,358.80,348.40,353.20
06-28-2016,353.20,352.00,356.25,349.00,350.20
06-29-2016,350.20,355.50,365.00,353.50,355.95
06-30-2016,355.95,359.05,388.00,358.10,377.30
07-01-2016,377.30,380.50,393.90,375.70,380.30
07-05-2016,380.30,393.80,393.80,377.00,378.40
07-05-2016,378.40,378.55,379.75,365.10,373.15
07-08-2016,373.15,379.90,383.55,370.00,373.20
07-08-2016,373.20,373.20,375.95,370.00,374.15
07-11-2016,374.15,373.05,375.95,363.25,367.35
07-12-2016,367.35,368.50,374.85,363.00,363.50
