Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,558.10,554.55,560.90,549.80,556.85

06-08-2016,556.85,557.50,562.15,555.00,560.85
06-09-2016,560.85,560.85,560.85,551.20,556.65
06-10-2016,556.65,559.10,563.90,550.65,562.00
06-13-2016,562.00,557.00,564.00,553.00,558.60
06-14-2016,558.60,562.25,562.25,550.00,551.45
06-15-2016,551.45,550.70,555.70,539.65,544.50
06-16-2016,544.50,549.95,549.95,531.55,533.10
06-17-2016,533.10,538.20,539.00,525.00,528.95
06-19-2016,528.95,528.30,533.60,526.00,526.90
06-21-2016,526.90,534.70,544.75,531.90,541.90
06-22-2016,541.90,547.00,547.00,532.35,535.20
06-23-2016,535.20,537.00,539.75,534.20,537.30
06-24-2016,537.30,525.00,555.60,517.90,544.50
06-27-2016,544.50,545.00,549.05,540.10,545.80
06-28-2016,545.80,547.00,549.00,540.00,540.60
06-29-2016,540.60,547.00,551.95,545.45,546.95
06-30-2016,546.95,547.35,595.00,547.35,573.60
07-01-2016,573.60,579.95,590.60,578.30,581.70
07-05-2016,581.70,580.20,587.15,577.00,579.45
07-05-2016,579.45,583.95,594.65,573.05,577.00
07-08-2016,577.00,588.00,590.00,577.20,580.10
07-08-2016,580.10,582.30,624.00,576.30,598.90
07-11-2016,598.90,608.65,610.05,595.05,596.35
07-12-2016,596.35,599.10,605.00,588.00,592.20
