Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,17.47,16.60,16.60,16.60,16.60
05-19-2016,17.47,16.60,16.60,16.60,16.60
05-19-2016,16.60,16.59,17.43,16.59,17.43
05-20-2016,17.43,16.56,18.10,16.56,18.10
05-23-2016,18.10,18.00,18.80,17.20,17.20
05-24-2016,18.10,18.00,18.80,17.20,17.20
05-25-2016,18.10,18.00,18.80,17.20,17.20
05-26-2016,17.20,16.35,16.35,16.35,16.35
05-27-2016,16.35,15.55,15.55,15.55,15.55
05-30-2016,16.35,15.55,15.55,15.55,15.55
05-31-2016,16.35,15.55,15.55,15.55,15.55
06-01-2016,16.35,15.55,15.55,15.55,15.55
06-02-2016,16.35,15.55,15.55,15.55,15.55
06-04-2016,15.55,14.85,14.85,14.85,14.85
06-06-2016,15.55,14.85,14.85,14.85,14.85
06-07-2016,15.55,14.85,14.85,14.85,14.85
06-08-2016,15.55,14.85,14.85,14.85,14.85
06-09-2016,14.85,15.55,15.55,15.55,15.55
06-10-2016,15.55,16.30,16.30,14.80,14.80
06-13-2016,15.55,16.30,16.30,14.80,14.80
06-14-2016,15.55,16.30,16.30,14.80,14.80
06-15-2016,15.55,16.30,16.30,14.80,14.80
06-16-2016,14.80,14.10,14.10,14.10,14.10
06-17-2016,14.80,14.10,14.10,14.10,14.10
06-19-2016,14.80,14.10,14.10,14.10,14.10
06-21-2016,14.10,14.80,14.80,14.80,14.80
06-22-2016,14.80,15.50,15.50,15.50,15.50
06-23-2016,15.50,16.25,16.25,16.25,16.25
06-24-2016,16.25,17.05,17.05,17.05,17.05
06-27-2016,17.05,17.90,17.90,17.90,17.90
06-28-2016,17.90,18.10,18.75,18.10,18.75
06-29-2016,18.75,19.65,19.65,18.30,18.30
06-30-2016,18.75,19.65,19.65,18.30,18.30
07-01-2016,18.30,19.10,19.10,17.40,17.40
07-05-2016,17.40,18.20,18.25,18.20,18.25
07-05-2016,18.25,19.15,19.15,19.15,19.15
07-07-2016,19.15,19.90,19.90,18.20,18.20
07-08-2016,18.20,17.30,17.30,17.30,17.30
07-11-2016,17.30,16.50,16.50,16.45,16.45
07-12-2016,16.45,15.70,15.70,15.65,15.65
