Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,19.00,19.00,19.00,19.00,19.00
05-19-2016,19.00,19.00,19.00,19.00,19.00
05-20-2016,19.00,19.00,19.00,19.00,19.00
05-20-2016,19.00,19.00,19.00,19.00,19.00
05-23-2016,19.00,19.00,19.00,19.00,19.00
05-24-2016,19.00,19.00,19.00,19.00,19.00
05-25-2016,19.00,19.00,19.00,19.00,19.00
05-26-2016,19.00,19.00,19.00,19.00,19.00
05-27-2016,19.00,19.00,19.00,19.00,19.00
05-30-2016,19.00,19.00,19.00,19.00,19.00
05-31-2016,19.00,19.00,19.00,19.00,19.00
06-01-2016,19.00,19.00,19.00,19.00,19.00
06-02-2016,19.00,18.10,18.10,18.10,18.10
06-04-2016,18.10,19.00,19.00,19.00,19.00
06-06-2016,19.00,18.05,18.05,18.05,18.05
06-07-2016,18.05,17.15,17.15,17.15,17.15
06-08-2016,18.05,17.15,17.15,17.15,17.15
06-09-2016,17.15,16.30,16.30,16.30,16.30
06-10-2016,17.15,16.30,16.30,16.30,16.30
06-13-2016,17.15,16.30,16.30,16.30,16.30
06-14-2016,17.15,16.30,16.30,16.30,16.30
06-15-2016,17.15,16.30,16.30,16.30,16.30
06-16-2016,17.15,16.30,16.30,16.30,16.30
06-17-2016,17.15,16.30,16.30,16.30,16.30
06-19-2016,17.15,16.30,16.30,16.30,16.30
06-21-2016,17.15,16.30,16.30,16.30,16.30
06-22-2016,17.15,16.30,16.30,16.30,16.30
06-23-2016,17.15,16.30,16.30,16.30,16.30
06-24-2016,17.15,16.30,16.30,16.30,16.30
06-27-2016,16.30,17.00,17.00,17.00,17.00
06-28-2016,16.30,17.00,17.00,17.00,17.00
06-29-2016,16.30,17.00,17.00,17.00,17.00
06-30-2016,16.30,17.00,17.00,17.00,17.00
07-01-2016,16.30,17.00,17.00,17.00,17.00
07-05-2016,17.00,17.85,17.85,17.85,17.85
07-05-2016,17.00,17.85,17.85,17.85,17.85
07-08-2016,17.00,17.85,17.85,17.85,17.85
07-08-2016,17.00,17.85,17.85,17.85,17.85
07-11-2016,17.00,17.85,17.85,17.85,17.85
07-12-2016,17.00,17.85,17.85,17.85,17.85
