Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,2.31,2.31,2.31,2.31,2.31

06-08-2016,2.31,2.31,2.31,2.31,2.31
06-09-2016,2.31,2.31,2.31,2.31,2.31
06-10-2016,2.31,2.42,2.42,2.42,2.42
06-13-2016,2.42,2.53,2.53,2.53,2.53
06-14-2016,2.53,2.65,2.65,2.63,2.63
06-15-2016,2.63,2.76,2.76,2.50,2.50
06-16-2016,2.50,2.62,2.62,2.62,2.62
06-17-2016,2.62,2.75,2.75,2.75,2.75
06-19-2016,2.62,2.75,2.75,2.75,2.75
06-21-2016,2.62,2.75,2.75,2.75,2.75
06-22-2016,2.75,2.88,2.88,2.62,2.80
06-23-2016,2.80,2.94,2.94,2.94,2.94
06-24-2016,2.94,3.08,3.08,3.04,3.04
06-27-2016,3.04,3.14,3.14,3.09,3.09
06-28-2016,3.04,3.14,3.14,3.09,3.09
06-29-2016,3.04,3.14,3.14,3.09,3.09
06-30-2016,3.09,3.09,3.09,2.94,3.09
07-01-2016,3.09,3.09,3.09,3.09,3.09
07-05-2016,3.09,3.24,3.24,2.95,3.10
07-05-2016,3.10,2.95,2.95,2.95,2.95
07-07-2016,3.10,2.95,2.95,2.95,2.95
07-08-2016,2.95,2.81,2.81,2.81,2.81
07-11-2016,2.81,2.67,2.80,2.67,2.80
07-12-2016,2.80,2.66,2.66,2.66,2.66
