Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.92,2.85,2.99,2.80,2.85
05-19-2016,2.85,2.85,2.98,2.80,2.94
05-20-2016,2.94,2.85,2.98,2.70,2.85
05-21-2016,2.85,2.70,2.99,2.60,2.84
05-23-2016,2.84,2.80,3.00,2.62,2.76
05-24-2016,2.76,2.75,2.93,2.75,2.92
05-25-2016,2.92,2.85,2.94,2.65,2.89
05-26-2016,2.89,2.80,2.93,2.66,2.79
05-27-2016,2.79,2.90,2.90,2.66,2.74
05-30-2016,2.74,2.80,2.94,2.65,2.78
05-31-2016,2.78,2.89,2.89,2.55,2.85
06-01-2016,2.85,3.00,3.00,2.68,2.88
06-02-2016,2.88,2.75,3.08,2.65,2.87
06-04-2016,2.87,2.60,3.22,2.55,2.86
06-06-2016,2.86,2.75,2.90,2.65,2.80
06-07-2016,2.77,3.17,3.22,2.68,2.84
06-08-2016,2.84,2.80,2.83,2.60,2.82
06-09-2016,2.82,2.75,2.94,2.65,2.76
06-10-2016,2.76,2.98,2.98,2.65,2.77
06-13-2016,2.77,3.20,3.20,2.69,2.70
06-14-2016,2.70,2.93,2.93,2.71,2.89
06-15-2016,2.89,2.80,3.20,2.32,2.70
06-16-2016,2.70,2.80,3.22,2.75,2.85
06-17-2016,2.85,2.90,3.05,2.75,2.98
06-19-2016,2.98,3.00,3.17,2.71,3.13
06-21-2016,3.13,3.05,3.74,2.75,3.66
06-22-2016,3.66,3.75,4.02,3.58,3.89
06-23-2016,3.89,3.85,3.85,3.60,3.80
06-24-2016,3.80,3.78,3.87,3.70,3.81
06-27-2016,3.81,3.85,4.17,3.66,3.81
06-28-2016,3.81,3.80,3.98,3.43,3.62
06-29-2016,3.62,3.65,3.97,3.26,3.41
06-30-2016,3.41,3.50,3.75,3.30,3.65
07-01-2016,3.65,3.60,3.98,3.50,3.85
07-05-2016,3.85,3.90,3.90,3.47,3.64
07-05-2016,3.64,3.92,3.92,3.55,3.70
07-08-2016,3.70,3.65,3.79,3.40,3.62
07-08-2016,3.62,3.78,3.78,3.35,3.53
07-11-2016,3.53,3.85,3.85,3.42,3.59
07-12-2016,3.59,3.60,3.70,3.47,3.58
