Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,21.95,23.00,23.00,22.95,23.00
05-19-2016,21.95,23.00,23.00,22.95,23.00
05-20-2016,23.00,21.90,21.90,21.85,21.85
05-21-2016,21.85,20.85,20.85,20.80,20.80
05-23-2016,20.80,21.75,21.75,20.25,20.25
05-24-2016,20.80,21.75,21.75,20.25,20.25
05-25-2016,20.25,21.20,21.20,21.20,21.20
05-26-2016,21.20,22.20,22.20,22.20,22.20
05-27-2016,21.20,22.20,22.20,22.20,22.20
05-30-2016,21.20,22.20,22.20,22.20,22.20
05-31-2016,21.20,22.20,22.20,22.20,22.20
06-01-2016,21.20,22.20,22.20,22.20,22.20
06-02-2016,21.20,22.20,22.20,22.20,22.20
06-04-2016,21.20,22.20,22.20,22.20,22.20
06-06-2016,21.20,22.20,22.20,22.20,22.20
06-07-2016,22.20,22.20,22.20,22.20,22.20
06-08-2016,22.20,22.20,22.20,22.20,22.20
06-09-2016,22.20,22.20,22.20,22.20,22.20
06-10-2016,22.20,22.20,22.20,22.20,22.20
06-13-2016,22.20,21.10,21.10,21.10,21.10
06-14-2016,21.10,20.05,20.05,20.05,20.05
06-15-2016,20.05,21.00,21.00,19.05,19.05
06-16-2016,19.05,18.10,18.10,18.10,18.10
06-17-2016,18.10,19.00,19.00,17.80,17.95
06-19-2016,18.10,19.00,19.00,17.80,17.95
06-21-2016,18.10,19.00,19.00,17.80,17.95
06-22-2016,18.10,19.00,19.00,17.80,17.95
06-23-2016,17.95,18.00,18.00,17.10,17.10
06-24-2016,17.10,16.25,17.90,16.25,16.25
06-27-2016,16.25,15.60,15.60,15.55,15.55
06-28-2016,15.55,15.55,15.55,15.55,15.55
06-29-2016,15.55,16.25,16.25,16.25,16.25
06-30-2016,15.55,16.25,16.25,16.25,16.25
07-01-2016,16.25,15.45,15.45,15.45,15.45
07-05-2016,15.45,16.20,16.20,16.20,16.20
07-05-2016,16.20,16.95,16.95,16.95,16.95
07-08-2016,16.20,16.95,16.95,16.95,16.95
07-08-2016,16.95,17.70,17.70,16.20,16.20
07-11-2016,16.20,16.95,16.95,15.40,15.40
07-12-2016,15.40,16.10,16.15,14.65,14.65
