Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,779.30,780.05,786.00,770.00,772.90

06-08-2016,772.90,776.95,778.50,767.00,773.80
06-09-2016,773.80,773.00,775.05,741.85,752.05
06-10-2016,752.05,749.95,754.25,736.80,744.90
06-13-2016,744.90,740.00,753.60,731.00,749.55
06-14-2016,749.55,759.90,759.90,746.45,750.10
06-15-2016,750.10,755.00,755.00,740.75,742.40
06-16-2016,742.40,750.00,750.00,725.10,736.55
06-17-2016,736.55,743.95,743.95,723.10,726.60
06-19-2016,726.60,728.00,742.00,719.60,738.45
06-21-2016,738.45,746.00,746.45,720.00,722.05
06-22-2016,722.05,727.50,735.00,714.45,720.85
06-23-2016,720.85,721.05,729.45,719.20,726.30
06-24-2016,726.30,710.00,710.00,665.35,700.25
06-27-2016,700.25,707.90,725.70,700.60,722.85
06-28-2016,722.85,725.00,734.40,725.00,730.05
06-29-2016,730.05,735.10,741.95,732.70,737.10
06-30-2016,737.10,744.00,748.35,740.05,743.40
07-01-2016,743.40,744.00,752.50,742.80,745.00
07-05-2016,745.00,750.00,761.85,750.00,757.35
07-05-2016,757.35,759.00,772.50,747.20,769.15
07-08-2016,769.15,775.00,778.10,760.80,763.10
07-08-2016,763.10,769.90,780.00,769.90,778.15
07-11-2016,778.15,789.00,790.70,779.55,786.80
07-12-2016,786.80,790.00,790.00,775.00,778.85
