Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,486.85,489.00,505.50,488.35,503.00
05-19-2016,503.00,500.00,503.00,495.00,501.35
05-19-2016,501.35,501.35,501.35,488.65,490.30
05-20-2016,490.30,492.25,495.65,488.55,490.85
05-23-2016,490.85,493.00,494.40,485.00,486.30
05-24-2016,486.30,482.35,491.45,482.35,489.30
05-25-2016,489.30,492.00,503.30,492.00,502.35
05-26-2016,502.35,502.00,523.00,500.20,519.20
05-27-2016,519.20,521.00,525.00,509.45,513.10
05-30-2016,513.10,515.00,522.00,512.25,513.30
05-31-2016,513.30,515.00,518.60,511.00,515.60
06-01-2016,515.60,525.00,529.50,511.35,513.35
06-02-2016,513.35,510.70,525.00,506.90,524.35
06-04-2016,524.35,528.00,545.00,526.00,542.80
06-06-2016,542.80,543.00,545.00,530.50,534.10
06-07-2016,534.10,539.90,539.90,527.10,534.40
06-08-2016,534.40,535.00,541.20,531.00,539.15
06-09-2016,539.15,544.00,545.90,537.05,542.20
06-10-2016,542.20,541.85,549.20,538.30,541.30
06-13-2016,541.30,531.00,534.00,524.15,531.55
06-14-2016,531.55,535.00,535.05,526.35,530.35
06-15-2016,530.35,532.05,533.80,522.75,528.50
06-16-2016,528.50,527.00,528.15,516.50,523.65
06-17-2016,523.65,527.90,534.00,524.50,526.70
06-19-2016,526.70,516.00,525.00,515.10,524.65
06-21-2016,524.65,525.00,525.00,515.25,517.45
06-22-2016,517.45,519.00,521.00,513.80,515.95
06-23-2016,515.95,517.95,528.05,515.00,526.50
06-24-2016,526.50,505.00,514.80,493.00,510.35
06-27-2016,510.35,510.00,517.90,508.00,514.25
06-28-2016,514.25,515.00,520.60,512.65,514.80
06-29-2016,514.80,519.00,519.00,514.15,517.35
06-30-2016,517.35,520.15,535.00,520.15,533.45
07-01-2016,533.45,535.00,545.50,535.00,542.80
07-05-2016,542.80,546.00,546.90,539.75,543.90
07-05-2016,543.90,541.50,546.50,536.10,539.60
07-07-2016,539.60,539.70,545.75,536.00,542.45
07-08-2016,542.45,541.00,548.65,540.10,546.45
07-11-2016,546.45,550.50,552.90,542.15,544.35
07-12-2016,544.35,550.20,562.00,550.00,560.85
07-13-2016,560.85,564.40,564.40,551.15,556.65
