Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,29.45,29.40,30.15,29.05,29.20

06-08-2016,29.20,29.40,29.75,28.80,29.00
06-09-2016,29.00,29.00,29.85,28.70,29.10
06-10-2016,29.10,29.20,29.60,28.75,28.80
06-13-2016,28.80,29.00,29.60,28.70,28.95
06-14-2016,28.95,28.75,30.20,28.75,28.95
06-15-2016,28.95,29.00,29.35,28.70,28.80
06-16-2016,28.80,28.75,29.00,28.60,28.80
06-17-2016,28.80,29.60,31.35,29.60,30.15
06-19-2016,30.15,30.10,31.15,29.50,29.85
06-21-2016,29.85,29.60,29.95,29.60,29.75
06-22-2016,29.75,29.55,30.00,29.05,29.30
06-23-2016,29.30,29.25,29.50,29.05,29.20
06-24-2016,29.20,28.15,28.90,27.10,28.50
06-27-2016,28.50,28.50,29.60,28.40,28.90
06-28-2016,28.90,29.00,29.80,28.95,29.25
06-29-2016,29.25,29.50,29.75,29.20,29.40
06-30-2016,29.40,29.50,30.15,29.50,29.80
07-01-2016,29.80,29.80,30.90,29.65,30.15
07-05-2016,30.15,30.50,30.90,30.20,30.50
07-05-2016,30.50,30.00,30.95,30.00,30.80
07-08-2016,30.80,30.60,32.00,30.50,30.80
07-08-2016,30.80,30.90,30.90,29.90,30.75
07-11-2016,30.75,30.55,33.30,30.55,32.20
07-12-2016,32.25,31.75,31.90,31.30,31.35
