Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,150.00,155.00,157.00,145.10,154.10
05-19-2016,154.10,148.80,148.80,148.00,148.10
05-20-2016,148.10,155.00,155.50,148.50,149.80
05-20-2016,149.80,150.00,160.40,148.00,148.30
05-23-2016,148.30,145.00,168.00,145.00,155.50
05-24-2016,155.50,150.50,156.00,150.50,153.00
05-25-2016,153.00,151.50,155.50,150.20,151.10
05-26-2016,151.10,148.30,158.00,148.20,155.10
05-27-2016,155.10,151.00,159.00,151.00,158.50
05-30-2016,158.50,150.00,150.00,136.50,138.15
05-31-2016,138.15,136.10,140.00,135.05,139.90
06-01-2016,139.90,140.10,140.10,135.60,137.00
06-02-2016,137.00,137.00,138.80,135.10,137.20
06-04-2016,137.20,138.80,138.80,133.20,134.55
06-06-2016,134.55,142.00,142.00,134.20,136.20
06-07-2016,136.45,140.00,141.50,136.50,141.50
06-08-2016,141.50,138.00,146.00,138.00,144.45
06-09-2016,144.45,140.00,140.00,140.00,140.00
06-10-2016,140.00,144.30,144.40,132.50,136.00
06-13-2016,136.00,135.00,140.00,135.00,140.00
06-14-2016,140.00,135.05,140.00,135.05,140.00
06-15-2016,140.00,137.05,140.00,132.15,137.15
06-16-2016,137.15,135.10,141.65,135.10,138.00
06-17-2016,138.00,143.10,145.00,140.05,140.10
06-19-2016,140.10,139.90,139.90,135.20,139.00
06-21-2016,139.00,138.35,138.50,138.35,138.50
06-22-2016,138.50,142.00,142.00,138.00,138.00
06-23-2016,138.00,135.00,135.00,132.20,134.25
06-24-2016,134.25,130.60,138.00,130.60,133.25
06-27-2016,133.25,135.00,137.10,135.00,137.10
06-28-2016,137.10,134.00,143.15,132.00,132.05
06-29-2016,132.05,134.75,137.00,134.75,135.05
06-30-2016,135.05,136.50,140.00,135.05,139.95
07-01-2016,139.95,140.00,142.55,136.15,137.30
07-05-2016,137.30,135.65,142.50,135.65,142.40
07-05-2016,142.40,141.40,145.00,141.15,142.90
07-07-2016,142.90,136.10,141.95,136.10,139.90
07-08-2016,139.90,136.75,138.90,136.70,138.10
07-11-2016,138.10,140.20,142.00,139.00,142.00
07-12-2016,142.00,141.75,145.00,140.05,145.00
