Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,16.75,17.00,17.40,16.65,17.00
05-19-2016,17.00,17.20,17.20,16.65,16.85
05-20-2016,16.85,16.70,18.00,16.50,17.45
05-21-2016,17.45,17.50,17.55,17.05,17.15
05-23-2016,17.15,17.15,17.50,16.95,17.30
05-24-2016,17.30,17.45,17.95,16.80,17.40
05-25-2016,17.40,17.90,18.00,17.50,17.85
05-26-2016,17.85,18.30,18.30,16.85,17.15
05-27-2016,17.15,17.05,17.05,16.75,16.80
05-30-2016,16.80,16.90,17.10,16.50,16.70
05-31-2016,16.70,16.65,16.65,16.05,16.15
06-01-2016,16.15,16.15,16.30,15.75,15.85
06-02-2016,15.85,15.90,16.70,15.90,16.20
06-04-2016,16.20,16.20,16.50,15.85,15.95
06-06-2016,15.95,15.85,16.00,15.45,15.95
06-07-2016,15.95,15.85,16.00,15.65,15.75
06-08-2016,15.75,15.75,16.20,15.60,16.00
06-09-2016,16.00,16.25,16.25,15.65,15.75
06-10-2016,15.75,15.75,16.15,15.55,15.80
06-13-2016,15.80,16.00,16.00,15.50,15.55
06-14-2016,15.55,16.00,16.25,15.70,16.00
06-15-2016,16.00,16.20,17.60,15.95,17.30
06-16-2016,17.30,17.30,17.45,16.40,16.80
06-17-2016,16.80,16.85,16.85,15.75,15.90
06-19-2016,15.90,16.05,16.20,15.80,15.90
06-21-2016,15.90,16.10,16.10,15.75,15.80
06-22-2016,15.80,15.90,16.00,15.65,15.70
06-23-2016,15.70,15.75,15.80,15.55,15.65
06-24-2016,15.65,15.50,15.60,15.00,15.55
06-27-2016,15.55,15.70,15.95,15.65,15.80
06-28-2016,15.80,15.80,16.05,15.55,15.65
06-29-2016,15.65,15.85,16.45,15.55,15.85
06-30-2016,15.85,16.10,16.70,15.95,16.30
07-01-2016,16.30,16.80,16.85,16.30,16.50
07-05-2016,16.50,16.95,16.95,16.30,16.50
07-05-2016,16.50,16.60,16.90,16.40,16.70
07-08-2016,16.70,17.25,17.40,16.50,16.60
07-08-2016,16.60,16.50,16.50,16.00,16.10
07-11-2016,16.10,16.30,16.45,15.65,15.70
07-12-2016,15.70,15.80,16.10,15.60,15.75
