Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,47.80,47.80,48.50,46.40,46.85
05-19-2016,46.85,46.00,46.00,45.55,45.95
05-20-2016,45.95,46.00,46.00,45.30,45.30
05-21-2016,45.30,45.20,46.85,44.40,46.85
05-23-2016,45.30,45.20,46.85,44.40,46.85
05-24-2016,46.85,47.25,47.50,45.05,46.00
05-25-2016,46.00,45.00,47.45,45.00,47.45
05-26-2016,47.45,47.45,47.45,46.85,46.85
05-27-2016,46.85,45.10,46.00,43.00,43.50
05-30-2016,43.50,43.05,43.05,40.05,42.05
05-31-2016,42.05,40.15,42.00,40.15,41.00
06-01-2016,41.00,43.00,43.00,40.10,42.45
06-02-2016,42.45,41.00,41.00,40.95,40.95
06-04-2016,40.95,41.90,41.90,39.50,39.55
06-06-2016,39.55,39.20,40.40,39.10,40.40
06-07-2016,39.55,39.20,40.40,39.10,40.40
06-08-2016,40.40,39.15,39.15,38.30,38.55
06-09-2016,38.55,40.00,40.95,39.05,40.45
06-10-2016,40.45,41.00,41.00,40.20,40.45
06-13-2016,40.45,41.80,41.80,38.25,39.75
06-14-2016,39.75,40.25,40.25,40.25,40.25
06-15-2016,40.25,38.95,40.25,38.70,38.95
06-16-2016,38.95,39.10,39.95,38.40,38.40
06-17-2016,38.40,40.00,40.00,40.00,40.00
06-19-2016,38.40,40.00,40.00,40.00,40.00
06-21-2016,40.00,39.00,39.00,38.50,38.90
06-22-2016,38.90,38.25,38.25,38.25,38.25
06-23-2016,38.25,38.45,39.00,38.45,39.00
06-24-2016,39.00,38.00,39.45,38.00,39.35
06-27-2016,39.35,39.75,39.75,39.75,39.75
06-28-2016,39.75,39.00,39.85,38.35,38.60
06-29-2016,38.60,39.50,39.60,38.20,39.00
06-30-2016,39.00,39.30,40.00,39.00,39.50
07-01-2016,39.50,39.50,40.90,39.50,40.90
07-05-2016,40.90,42.80,42.80,39.20,41.20
07-05-2016,41.20,40.50,44.80,40.50,44.00
07-08-2016,44.00,45.00,47.90,43.70,44.00
07-08-2016,44.00,45.90,45.90,43.60,44.00
07-11-2016,44.00,48.50,48.50,42.00,43.15
07-12-2016,43.15,47.80,47.80,42.55,43.35
