Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,74.40,71.20,75.95,71.20,75.00

06-08-2016,75.00,75.00,78.75,75.00,78.75
06-09-2016,78.75,82.00,82.65,75.70,82.65
06-10-2016,82.65,82.00,84.00,82.00,83.00
06-13-2016,83.00,83.00,87.10,80.10,83.05
06-14-2016,83.05,86.00,86.00,82.00,82.00
06-15-2016,82.00,86.00,86.10,84.60,86.10
06-16-2016,86.10,86.00,88.20,84.10,85.00
06-17-2016,85.00,84.50,86.80,82.50,86.80
06-19-2016,86.80,83.10,88.00,82.50,85.75
06-21-2016,85.75,88.50,88.50,83.25,87.15
06-22-2016,87.15,86.00,86.00,83.75,85.00
06-23-2016,85.00,83.60,84.90,83.50,84.65
06-24-2016,84.65,82.10,83.00,80.45,80.45
06-27-2016,80.45,80.50,83.30,80.25,83.30
06-28-2016,83.30,83.85,83.90,79.20,80.15
06-29-2016,80.15,78.50,84.15,78.40,84.15
06-30-2016,84.15,84.50,87.00,84.50,86.45
07-01-2016,86.45,85.50,90.00,85.25,89.45
07-05-2016,89.45,86.50,90.00,85.00,85.35
07-05-2016,85.35,85.25,89.00,83.10,87.50
07-08-2016,87.50,87.00,89.10,84.40,87.40
07-08-2016,87.40,86.00,88.90,85.00,85.65
07-11-2016,85.65,81.40,87.70,81.40,86.50
07-12-2016,86.50,85.00,85.00,83.50,83.55
