Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,36.45,36.40,37.50,36.00,36.45

06-08-2016,36.45,36.40,37.00,32.50,35.90
06-09-2016,35.90,36.40,36.80,35.50,36.15
06-10-2016,36.15,36.10,36.70,34.10,36.15
06-13-2016,36.15,36.75,37.00,35.85,36.65
06-14-2016,36.65,36.90,37.00,34.35,36.30
06-15-2016,36.30,36.65,36.65,35.50,35.80
06-16-2016,35.80,36.45,36.60,34.95,36.25
06-17-2016,36.25,36.45,36.45,35.75,36.30
06-19-2016,36.30,36.90,37.50,35.20,35.80
06-21-2016,35.80,36.00,36.95,35.75,36.80
06-22-2016,36.80,36.40,36.75,35.85,36.55
06-23-2016,36.55,36.25,36.75,35.00,36.00
06-24-2016,36.00,36.20,36.45,35.25,35.95
06-27-2016,35.95,39.40,39.40,35.90,36.70
06-28-2016,36.70,36.15,38.00,35.85,36.30
06-29-2016,36.30,35.50,36.80,34.90,35.90
06-30-2016,35.90,36.90,37.45,35.85,35.95
07-01-2016,35.95,36.75,36.75,35.25,36.10
07-05-2016,36.10,36.25,36.45,35.50,35.75
07-05-2016,35.75,36.00,36.50,35.00,36.20
07-08-2016,36.20,36.80,36.80,35.45,35.75
07-08-2016,35.75,35.75,36.75,35.10,35.80
07-11-2016,35.80,32.00,35.50,32.00,35.05
07-12-2016,35.05,35.00,36.25,34.30,35.05
