Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,504.15,505.00,521.30,505.00,514.45

06-08-2016,514.45,514.80,526.90,514.80,524.00
06-09-2016,524.00,527.85,528.80,516.00,520.25
06-10-2016,520.25,521.50,529.00,517.30,519.70
06-13-2016,519.70,513.00,514.75,505.25,511.80
06-14-2016,511.80,515.00,521.00,511.15,513.75
06-15-2016,513.75,517.00,536.50,516.85,525.95
06-16-2016,525.95,526.00,527.00,513.10,518.90
06-17-2016,518.90,522.00,541.80,520.35,529.80
06-19-2016,529.80,525.00,533.25,522.55,526.25
06-21-2016,526.25,528.80,534.60,526.05,527.10
06-22-2016,527.10,527.20,542.00,517.60,520.40
06-23-2016,520.40,523.00,523.60,512.65,517.05
06-24-2016,517.05,500.00,500.00,481.80,496.75
06-27-2016,496.75,500.00,512.80,497.35,509.30
06-28-2016,509.30,511.10,536.00,511.00,523.20
06-29-2016,523.20,527.00,538.70,525.55,527.60
06-30-2016,527.60,533.00,534.60,525.35,529.70
07-01-2016,529.70,533.00,548.00,531.00,539.70
07-05-2016,539.70,542.00,550.00,540.00,542.25
07-05-2016,542.25,543.00,543.65,532.50,537.60
07-07-2016,537.60,538.30,543.00,532.00,533.20
07-08-2016,533.20,536.00,575.00,521.05,568.80
07-11-2016,568.80,576.50,578.00,557.00,560.85
07-12-2016,560.85,561.00,562.00,544.55,547.50
