Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,8.50,8.08,8.90,8.08,8.90

06-08-2016,8.90,8.46,8.99,8.46,8.61
06-09-2016,8.90,8.46,8.99,8.46,8.61
06-10-2016,8.61,8.61,8.61,8.30,8.30
06-13-2016,8.30,8.30,8.30,8.30,8.30
06-14-2016,8.30,7.92,7.92,7.92,7.92
06-15-2016,7.92,7.53,8.30,7.53,8.30
06-16-2016,7.92,7.53,8.30,7.53,8.30
06-17-2016,8.30,8.65,8.65,7.89,7.89
06-19-2016,8.30,8.65,8.65,7.89,7.89
06-21-2016,7.89,8.20,8.28,8.00,8.25
06-22-2016,8.25,7.85,7.85,7.84,7.84
06-23-2016,7.84,8.00,8.20,7.45,7.45
06-24-2016,7.45,7.70,7.82,7.11,7.82
06-27-2016,7.82,7.82,8.21,7.82,8.21
06-28-2016,8.21,8.62,8.62,8.22,8.62
06-29-2016,8.62,9.05,9.05,8.72,9.05
06-30-2016,9.05,9.50,9.50,9.40,9.40
07-01-2016,9.40,9.30,9.86,9.29,9.80
07-05-2016,9.80,10.00,10.29,10.00,10.02
07-05-2016,10.02,9.55,10.25,9.52,9.92
07-08-2016,9.92,9.50,9.90,9.43,9.47
07-08-2016,9.47,9.70,9.70,9.00,9.00
07-11-2016,9.00,8.55,9.10,8.55,9.10
07-12-2016,9.10,9.00,9.00,8.65,8.75
