Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.00,13.00,13.39,12.61,13.39
05-19-2016,13.39,12.77,13.29,12.77,12.80
05-20-2016,12.80,13.00,13.30,13.00,13.24
05-21-2016,13.24,13.25,13.30,13.00,13.02
05-23-2016,13.02,13.30,14.80,12.95,13.95
05-24-2016,13.95,13.21,13.74,13.11,13.11
05-25-2016,13.11,12.80,13.89,12.80,13.00
05-26-2016,13.00,13.00,13.78,12.61,12.88
05-27-2016,12.88,13.60,13.60,13.00,13.21
05-30-2016,13.21,13.50,13.50,12.50,12.98
05-31-2016,12.98,12.20,12.95,12.10,12.75
06-01-2016,12.75,13.95,14.10,12.55,13.34
06-02-2016,13.34,13.15,13.15,13.00,13.15
06-04-2016,13.15,13.50,13.80,12.80,13.00
06-06-2016,13.00,12.95,13.00,12.75,12.90
06-07-2016,12.90,12.60,13.00,12.60,13.00
06-08-2016,13.00,12.78,12.99,12.78,12.99
06-09-2016,12.99,12.67,13.50,12.67,13.48
06-10-2016,13.48,13.85,14.00,12.70,13.50
06-13-2016,13.50,13.05,13.40,13.01,13.40
06-14-2016,13.40,13.03,14.00,13.03,13.22
06-15-2016,13.22,13.10,13.60,13.06,13.12
06-16-2016,13.12,13.00,13.10,12.65,12.85
06-17-2016,12.85,13.25,13.25,12.86,12.88
06-19-2016,12.88,12.26,13.45,12.26,13.45
06-21-2016,13.45,13.44,13.50,13.03,13.42
06-22-2016,13.42,13.20,13.80,13.14,13.36
06-23-2016,13.36,13.65,13.80,13.05,13.29
06-24-2016,13.29,13.50,13.50,12.56,13.00
06-27-2016,13.00,12.96,13.50,12.96,13.03
06-28-2016,13.03,12.95,13.39,12.92,13.20
06-29-2016,13.20,13.75,15.84,13.75,15.84
06-30-2016,15.84,16.90,17.50,16.50,17.04
07-01-2016,17.04,17.85,17.95,16.00,16.25
07-05-2016,16.25,15.50,17.20,15.50,16.60
07-05-2016,16.60,16.15,18.90,16.10,17.55
07-08-2016,17.55,17.90,18.00,17.65,17.95
07-08-2016,17.95,17.65,17.95,17.00,17.45
07-11-2016,17.45,17.55,17.60,16.25,16.45
07-12-2016,16.45,16.10,16.50,16.00,16.50
