Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,23.05,27.00,27.60,24.75,25.60
05-19-2016,25.60,25.50,27.95,25.00,25.00
05-20-2016,25.00,23.35,23.35,23.35,23.35
05-21-2016,23.35,22.50,24.00,22.50,24.00
05-23-2016,24.00,24.25,24.25,24.25,24.25
05-24-2016,24.25,24.00,24.00,24.00,24.00
05-25-2016,24.00,24.50,26.00,22.10,25.60
05-26-2016,25.60,25.90,25.90,25.90,25.90
05-27-2016,25.90,25.00,28.45,24.50,25.95
05-30-2016,25.95,24.00,28.00,23.60,24.80
05-31-2016,25.95,24.00,28.00,23.60,24.80
06-01-2016,24.80,23.00,24.85,23.00,24.85
06-02-2016,24.85,24.85,28.30,24.20,25.45
06-04-2016,25.45,24.35,25.35,24.20,24.30
06-06-2016,24.30,23.90,24.00,23.90,24.00
06-07-2016,24.00,24.00,24.90,23.15,24.90
06-08-2016,24.90,24.50,24.55,24.05,24.35
06-09-2016,24.35,23.65,25.45,23.20,23.45
06-10-2016,23.45,24.00,24.60,23.50,24.00
06-13-2016,24.00,24.00,24.00,24.00,24.00
06-14-2016,24.00,24.25,24.25,24.25,24.25
06-15-2016,24.25,24.25,24.25,24.25,24.25
06-16-2016,24.25,24.25,24.90,24.25,24.25
06-17-2016,24.25,24.50,24.50,24.30,24.50
06-19-2016,24.25,24.50,24.50,24.30,24.50
06-21-2016,24.50,24.50,24.50,24.50,24.50
06-22-2016,24.50,25.00,25.00,23.30,23.35
06-23-2016,23.35,22.30,22.30,22.30,22.30
06-24-2016,23.35,22.30,22.30,22.30,22.30
06-27-2016,22.30,23.00,23.40,23.00,23.40
06-28-2016,23.40,23.10,24.50,23.00,23.60
06-29-2016,23.60,23.50,24.75,23.50,24.75
06-30-2016,24.75,25.10,25.95,24.00,25.15
07-01-2016,25.15,25.75,26.40,25.75,26.35
07-05-2016,26.35,27.00,27.65,26.20,26.30
07-05-2016,26.30,25.90,27.50,25.00,25.00
07-08-2016,25.00,25.50,25.50,24.25,25.45
07-08-2016,25.00,25.50,25.50,24.25,25.45
07-11-2016,25.00,25.50,25.50,24.25,25.45
07-12-2016,25.45,26.00,26.00,24.65,24.75
