Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,90.65,92.70,92.70,84.15,85.30
05-19-2016,85.30,83.05,87.75,82.20,84.40
05-20-2016,84.40,88.00,88.00,80.00,80.95
05-21-2016,80.95,83.40,88.90,80.00,83.60
05-23-2016,83.60,84.00,87.80,82.15,85.25
05-24-2016,85.25,86.60,86.60,83.00,83.25
05-25-2016,83.25,84.00,87.50,83.55,85.75
05-26-2016,85.75,86.00,86.60,83.50,83.75
05-27-2016,83.75,87.00,87.00,84.00,84.25
05-30-2016,84.25,84.00,88.40,82.00,84.00
05-31-2016,84.00,84.00,88.00,81.00,84.25
06-01-2016,84.25,87.00,87.95,83.00,84.35
06-02-2016,84.35,87.00,87.30,82.90,84.10
06-04-2016,84.10,87.00,87.00,83.00,84.30
06-06-2016,84.30,86.00,86.85,81.10,83.75
06-07-2016,82.25,83.95,84.95,81.70,84.00
06-08-2016,84.00,86.50,86.50,81.20,82.40
06-09-2016,82.40,85.65,85.65,80.00,82.50
06-10-2016,82.50,83.95,83.95,78.00,78.95
06-13-2016,78.95,80.00,81.70,78.05,78.95
06-14-2016,78.95,80.00,80.90,75.15,76.40
06-15-2016,76.40,77.00,78.35,72.10,76.95
06-16-2016,76.95,78.50,79.95,73.05,74.10
06-17-2016,74.10,76.00,78.80,72.80,74.00
06-19-2016,74.00,74.00,74.00,59.20,61.40
06-21-2016,61.40,61.00,63.00,56.30,58.10
06-22-2016,58.10,61.95,63.75,60.60,62.55
06-23-2016,62.55,64.00,69.75,64.00,68.75
06-24-2016,68.75,66.90,67.75,58.00,63.00
06-27-2016,63.00,66.85,66.95,62.95,63.70
06-28-2016,63.70,65.10,68.65,60.65,65.40
06-29-2016,65.40,66.00,66.00,63.50,63.95
06-30-2016,63.95,65.85,70.75,65.50,67.00
07-01-2016,67.00,69.50,70.20,65.60,66.60
07-05-2016,66.60,69.00,69.00,65.60,66.10
07-05-2016,66.10,68.00,70.10,65.70,66.25
07-08-2016,66.25,65.50,69.65,65.50,68.45
07-08-2016,68.45,69.85,69.85,67.50,68.20
07-11-2016,68.20,70.00,70.00,67.00,68.65
07-12-2016,68.65,68.00,68.30,65.50,65.85
