Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,11.47,11.50,11.59,11.20,11.31
05-19-2016,11.31,11.20,11.23,11.00,11.20
05-19-2016,11.20,11.44,11.85,11.35,11.61
05-20-2016,11.61,11.46,11.89,11.35,11.41
05-23-2016,11.41,11.40,11.75,11.30,11.48
05-24-2016,11.48,11.35,11.80,11.25,11.58
05-25-2016,11.58,11.95,11.95,11.46,11.69
05-26-2016,11.69,11.60,11.80,11.30,11.41
05-27-2016,11.41,11.45,11.95,11.25,11.75
05-30-2016,11.75,11.89,12.55,11.15,11.75
05-31-2016,11.75,11.75,11.85,11.63,11.69
06-01-2016,11.69,11.85,12.11,11.52,11.90
06-02-2016,11.90,11.82,11.82,11.65,11.70
06-04-2016,11.70,11.99,11.99,11.50,11.65
06-06-2016,11.65,11.80,12.15,11.01,11.09
06-07-2016,11.09,11.65,11.65,11.20,11.30
06-08-2016,11.30,11.35,11.50,11.00,11.01
06-09-2016,11.01,11.38,11.38,10.75,10.85
06-10-2016,10.85,11.40,11.40,10.73,10.95
06-13-2016,10.95,10.70,10.80,10.60,10.67
06-14-2016,10.67,10.93,11.44,10.78,11.33
06-15-2016,11.33,11.50,12.00,10.91,11.15
06-16-2016,11.15,11.33,11.44,10.90,10.96
06-17-2016,10.96,10.82,11.05,10.75,10.85
06-19-2016,10.85,10.94,11.00,10.72,10.87
06-21-2016,10.87,11.37,11.37,10.75,10.87
06-22-2016,10.87,10.96,11.09,10.80,10.96
06-23-2016,10.96,11.00,11.00,10.77,10.80
06-24-2016,10.80,10.33,10.55,10.26,10.55
06-27-2016,10.55,10.65,10.94,10.65,10.83
06-28-2016,10.83,10.88,10.94,10.66,10.71
06-29-2016,10.71,10.75,10.85,10.70,10.75
06-30-2016,10.75,10.77,12.40,10.74,11.15
07-01-2016,11.15,11.32,12.80,11.07,12.34
07-05-2016,12.34,12.45,14.80,12.45,12.56
07-05-2016,12.56,12.75,13.40,11.51,11.81
07-07-2016,11.81,11.90,13.95,11.70,12.31
07-08-2016,12.31,13.00,13.40,11.70,11.82
07-11-2016,11.82,12.00,13.00,11.82,12.88
07-12-2016,12.88,13.00,13.90,12.24,13.79
