Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,226.40,228.40,232.85,226.00,230.75
05-19-2016,230.75,230.40,234.00,228.80,232.20
05-20-2016,232.20,231.70,234.00,225.00,227.40
05-21-2016,227.40,234.00,234.00,227.00,227.65
05-23-2016,227.65,230.70,230.90,217.65,219.25
05-24-2016,219.25,220.00,226.00,219.00,224.55
05-25-2016,224.55,223.50,228.20,220.80,226.15
05-26-2016,226.15,230.50,233.05,224.85,231.90
05-27-2016,231.90,232.00,234.00,226.15,227.50
05-30-2016,227.50,229.95,230.45,225.00,229.60
05-31-2016,229.60,229.20,236.50,226.25,234.85
06-01-2016,234.85,231.30,235.00,229.50,232.30
06-02-2016,232.30,233.55,238.00,230.75,234.90
06-04-2016,234.90,235.85,237.00,231.65,235.95
06-06-2016,235.95,234.00,238.90,233.25,235.30
06-07-2016,236.25,238.10,243.00,238.10,239.15
06-08-2016,239.15,241.80,242.00,239.00,239.50
06-09-2016,239.50,242.00,251.50,241.00,247.40
06-10-2016,247.40,252.00,254.90,248.75,252.75
06-13-2016,252.75,249.05,261.80,246.35,253.80
06-14-2016,253.80,253.90,255.00,246.50,248.20
06-15-2016,248.20,250.60,250.60,243.70,245.00
06-16-2016,245.00,242.80,249.25,242.65,247.10
06-17-2016,247.10,251.00,251.00,239.50,247.85
06-19-2016,247.85,246.95,247.00,243.60,244.90
06-21-2016,244.90,246.90,249.85,244.30,247.55
06-22-2016,247.55,245.90,257.80,245.80,254.10
06-23-2016,254.10,254.30,255.00,246.00,248.40
06-24-2016,248.40,235.55,243.80,232.00,241.80
06-27-2016,241.80,241.05,248.00,239.00,242.10
06-28-2016,242.10,244.45,247.00,243.00,243.45
06-29-2016,243.45,246.30,252.60,246.30,248.25
06-30-2016,248.25,250.00,251.85,247.30,248.40
07-01-2016,248.40,250.00,257.15,246.00,254.65
07-05-2016,254.65,254.20,255.00,247.10,248.60
07-05-2016,248.60,249.00,253.75,245.10,246.20
07-08-2016,246.20,249.45,252.40,246.95,248.10
07-08-2016,248.10,248.45,250.00,246.65,247.35
07-11-2016,247.35,251.40,251.40,242.40,249.75
07-12-2016,247.50,250.00,251.00,244.50,247.10
