Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,17.75,17.50,17.90,17.45,17.70
05-19-2016,17.70,17.95,17.95,17.50,17.50
05-19-2016,17.50,17.25,18.75,17.10,17.65
05-20-2016,17.65,17.90,18.50,17.40,17.45
05-23-2016,17.45,17.20,17.95,16.80,17.00
05-24-2016,17.00,17.20,17.30,16.75,17.00
05-25-2016,17.00,17.50,17.60,17.00,17.05
05-26-2016,17.05,17.50,17.50,17.00,17.00
05-27-2016,17.00,17.00,17.90,17.00,17.80
05-30-2016,17.80,17.25,17.90,17.25,17.85
05-31-2016,17.85,17.85,18.15,14.90,15.05
06-01-2016,15.05,15.10,15.10,14.10,14.40
06-02-2016,14.40,14.20,14.65,14.20,14.60
06-04-2016,14.60,14.30,15.00,14.00,14.20
06-06-2016,14.20,14.30,15.00,14.30,14.95
06-07-2016,14.65,14.50,14.95,14.35,14.60
06-08-2016,14.60,14.45,15.80,14.45,15.30
06-09-2016,15.30,15.20,15.60,14.80,15.30
06-10-2016,15.30,15.30,15.65,15.10,15.30
06-13-2016,15.30,15.00,15.40,14.45,15.05
06-14-2016,15.05,14.70,15.55,14.70,15.15
06-15-2016,15.15,15.45,15.50,14.95,15.10
06-16-2016,15.10,15.30,15.35,13.50,14.75
06-17-2016,14.75,14.80,15.00,13.85,14.35
06-19-2016,14.35,14.05,14.90,14.00,14.65
06-21-2016,14.65,15.05,15.05,14.30,14.35
06-22-2016,14.35,14.80,14.80,14.40,14.45
06-23-2016,14.45,14.30,14.75,14.15,14.20
06-24-2016,14.20,13.75,14.50,13.65,14.10
06-27-2016,14.10,14.25,14.45,13.70,14.00
06-28-2016,14.00,14.20,14.40,14.00,14.05
06-29-2016,14.05,14.45,16.85,14.10,16.85
06-30-2016,16.85,17.35,17.65,15.80,16.00
07-01-2016,16.00,16.00,16.40,15.70,15.85
07-05-2016,15.85,16.00,16.20,15.50,15.95
07-05-2016,15.95,16.00,16.60,15.45,15.55
07-07-2016,15.55,16.00,16.25,15.75,16.15
07-08-2016,16.15,15.95,16.20,15.70,16.05
07-11-2016,16.05,16.20,17.60,15.85,16.90
07-12-2016,16.90,17.00,17.20,16.10,16.20
