Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,23.85,24.70,24.80,23.55,24.20
05-19-2016,24.20,24.25,24.25,23.10,23.30
05-19-2016,23.30,23.05,23.30,22.30,22.65
05-20-2016,22.65,23.20,23.20,22.05,22.20
05-23-2016,22.20,22.30,22.30,20.50,20.85
05-24-2016,20.85,21.00,21.35,20.80,21.30
05-25-2016,21.30,22.40,22.40,21.00,21.75
05-26-2016,21.75,22.00,23.70,21.20,23.25
05-27-2016,23.25,22.30,24.70,22.30,23.35
05-30-2016,23.35,22.85,23.50,22.20,22.45
05-31-2016,22.45,22.00,23.50,22.00,23.25
06-01-2016,23.25,23.00,23.55,23.00,23.00
06-02-2016,23.00,22.45,22.95,22.30,22.50
06-04-2016,22.50,22.50,23.45,22.25,22.50
06-06-2016,22.50,22.00,22.25,21.85,22.00
06-07-2016,22.00,22.00,22.25,21.85,21.90
06-08-2016,21.90,22.00,22.50,21.70,21.80
06-09-2016,21.80,21.60,22.25,21.25,21.60
06-10-2016,21.60,21.60,22.15,20.00,21.00
06-13-2016,21.00,21.50,22.00,20.80,21.50
06-14-2016,21.50,20.50,21.70,19.50,21.00
06-15-2016,21.00,21.00,21.75,21.00,21.45
06-16-2016,21.45,21.05,23.80,20.90,22.50
06-17-2016,22.50,22.60,23.20,22.25,22.30
06-19-2016,22.30,22.00,22.40,21.70,21.75
06-21-2016,21.75,21.50,22.50,21.40,21.65
06-22-2016,21.65,21.60,22.30,21.60,22.10
06-23-2016,22.10,22.00,22.80,21.50,22.00
06-24-2016,22.00,21.60,23.00,20.95,22.70
06-27-2016,22.70,22.05,23.00,21.85,22.50
06-28-2016,22.50,22.00,22.90,22.00,22.10
06-29-2016,22.10,22.25,23.05,22.00,22.95
06-30-2016,22.95,23.05,27.50,23.00,26.45
07-01-2016,26.45,26.85,27.15,24.60,25.05
07-05-2016,25.05,25.00,26.20,24.90,25.00
07-05-2016,25.00,25.00,25.90,24.20,25.00
07-07-2016,25.00,24.50,30.00,24.50,29.15
07-08-2016,29.15,29.25,29.40,27.30,27.85
07-11-2016,27.85,28.15,29.50,28.15,28.95
07-12-2016,28.55,29.00,29.00,27.65,27.95
07-13-2016,27.95,27.10,29.45,27.10,28.05
