Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,213.80,214.00,216.00,211.00,211.70
05-19-2016,211.70,211.80,214.80,210.00,213.00
05-20-2016,213.00,213.50,215.50,207.00,208.90
05-21-2016,208.90,208.20,210.00,203.50,203.90
05-23-2016,203.90,205.50,207.50,202.70,203.75
05-24-2016,203.75,204.70,206.50,199.80,201.35
05-25-2016,201.35,203.00,206.90,201.00,202.65
05-26-2016,202.65,202.50,207.90,202.00,203.35
05-27-2016,203.35,205.00,207.20,204.25,206.20
05-30-2016,206.20,206.25,207.35,204.30,205.40
05-31-2016,205.40,206.00,206.85,205.00,206.00
06-01-2016,206.00,206.20,213.60,206.20,209.15
06-02-2016,209.15,209.00,212.00,209.00,210.80
06-04-2016,210.80,211.75,212.70,207.75,208.30
06-06-2016,208.30,209.00,216.70,208.55,214.95
06-07-2016,214.95,215.50,218.95,213.75,216.05
06-08-2016,216.05,215.00,218.00,211.70,212.90
06-09-2016,212.90,214.80,216.95,213.10,214.45
06-10-2016,214.45,214.50,216.30,212.60,213.10
06-13-2016,213.10,213.50,214.00,211.00,212.65
06-14-2016,212.65,212.50,214.55,212.45,213.80
06-15-2016,213.80,213.50,223.25,213.50,218.15
06-16-2016,218.15,217.50,218.50,215.65,217.00
06-17-2016,217.00,216.55,224.90,216.50,219.80
06-19-2016,219.80,219.40,226.00,219.40,223.85
06-21-2016,223.85,225.00,232.40,223.80,230.50
06-22-2016,230.50,232.50,232.75,227.20,228.30
06-23-2016,228.30,228.15,230.55,226.00,228.70
06-24-2016,228.70,224.90,224.90,215.00,220.20
06-27-2016,220.20,221.05,223.30,220.60,222.65
06-28-2016,222.65,223.80,225.00,223.10,223.90
06-29-2016,223.90,225.40,228.00,224.55,226.60
06-30-2016,226.60,229.70,236.00,227.90,230.85
07-01-2016,223.35,226.50,229.00,223.10,224.05
07-05-2016,224.05,225.50,228.15,223.00,224.70
07-05-2016,224.70,224.00,225.00,219.30,220.20
07-08-2016,220.20,222.00,222.00,216.50,217.00
07-08-2016,217.00,217.45,218.35,215.00,216.40
07-11-2016,216.40,218.10,222.00,216.80,218.30
07-12-2016,218.30,218.10,218.70,215.05,215.65
