Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,198.00,199.95,203.50,198.70,202.05
05-19-2016,202.05,203.50,206.75,202.60,203.85
05-20-2016,203.85,208.00,212.00,203.50,204.35
05-21-2016,204.35,203.00,207.60,203.00,204.40
05-23-2016,204.40,206.60,210.80,201.00,203.00
05-24-2016,203.00,217.80,219.40,195.00,196.85
05-25-2016,196.85,200.00,201.50,194.25,196.20
05-26-2016,196.20,195.70,197.00,189.20,191.80
05-27-2016,191.80,192.80,203.65,192.70,199.85
05-30-2016,199.85,197.05,201.05,194.00,195.05
05-31-2016,195.05,192.50,202.80,192.50,200.00
06-01-2016,200.00,202.45,204.20,197.55,199.35
06-02-2016,199.35,195.10,197.50,194.30,195.25
06-04-2016,195.25,196.80,199.30,193.10,193.60
06-06-2016,193.60,196.00,198.70,194.20,197.75
06-07-2016,197.75,198.90,200.40,195.70,197.45
06-08-2016,197.45,198.90,198.90,195.10,196.70
06-09-2016,196.70,199.90,202.00,196.50,200.15
06-10-2016,200.15,200.00,203.40,193.85,196.15
06-13-2016,196.15,197.00,197.40,193.20,194.90
06-14-2016,194.90,196.80,197.05,194.20,194.90
06-15-2016,194.90,197.35,198.65,194.80,195.05
06-16-2016,195.05,197.25,198.60,193.80,194.75
06-17-2016,194.75,198.00,198.00,194.15,194.80
06-19-2016,194.80,194.90,196.45,191.80,193.25
06-21-2016,193.25,194.80,195.40,190.30,191.40
06-22-2016,191.40,192.90,192.90,187.85,189.85
06-23-2016,189.85,190.70,192.40,188.25,189.90
06-24-2016,189.90,186.00,186.00,178.95,182.70
06-27-2016,182.70,186.00,192.00,183.05,190.00
06-28-2016,190.00,195.00,195.00,189.00,191.00
06-29-2016,191.00,192.80,198.40,190.20,197.05
06-30-2016,197.05,199.80,199.80,195.10,197.30
07-01-2016,197.30,198.70,203.40,196.25,198.45
07-05-2016,198.45,199.70,202.90,198.70,200.50
07-05-2016,200.50,200.30,207.00,200.10,204.10
07-08-2016,204.10,204.80,209.00,202.15,203.65
07-08-2016,203.65,203.00,203.00,197.10,198.00
07-11-2016,198.00,200.00,204.95,199.60,200.85
07-12-2016,200.85,201.30,207.75,200.00,203.95
