Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,23.60,24.75,24.75,24.75,24.75
05-19-2016,23.60,24.75,24.75,24.75,24.75
05-20-2016,23.60,24.75,24.75,24.75,24.75
05-21-2016,23.60,24.75,24.75,24.75,24.75
05-23-2016,23.60,24.75,24.75,24.75,24.75
05-24-2016,23.60,24.75,24.75,24.75,24.75
05-25-2016,23.60,24.75,24.75,24.75,24.75
05-26-2016,24.75,23.55,23.55,23.55,23.55
05-27-2016,24.75,23.55,23.55,23.55,23.55
05-30-2016,24.75,23.55,23.55,23.55,23.55
05-31-2016,24.75,23.55,23.55,23.55,23.55
06-01-2016,23.55,22.45,22.45,22.45,22.45
06-02-2016,23.55,22.45,22.45,22.45,22.45
06-04-2016,22.45,21.75,23.55,21.75,23.55
06-06-2016,23.55,24.70,24.70,24.70,24.70
06-07-2016,24.70,25.90,25.90,25.90,25.90
06-08-2016,25.90,27.15,27.15,27.15,27.15
06-09-2016,27.15,28.20,28.25,28.00,28.00
06-10-2016,28.00,26.60,26.60,26.60,26.60
06-13-2016,26.60,27.90,27.90,25.30,27.90
06-14-2016,27.90,29.00,29.00,26.55,26.55
06-15-2016,26.55,27.85,27.85,27.85,27.85
06-16-2016,27.85,29.10,29.10,29.10,29.10
06-17-2016,29.10,29.20,29.20,29.20,29.20
06-19-2016,29.20,30.60,30.60,27.75,27.75
06-21-2016,27.75,27.00,29.05,27.00,29.05
06-22-2016,27.75,27.00,29.05,27.00,29.05
06-23-2016,29.05,27.60,27.60,27.60,27.60
06-24-2016,27.60,26.25,28.50,26.25,28.50
06-27-2016,27.60,26.25,28.50,26.25,28.50
06-28-2016,28.50,29.90,29.90,27.10,27.10
06-29-2016,28.50,29.90,29.90,27.10,27.10
06-30-2016,27.10,26.60,28.25,26.60,28.25
07-01-2016,28.25,29.65,29.65,29.65,29.65
07-05-2016,29.65,28.25,28.25,28.25,28.25
07-05-2016,29.65,28.25,28.25,28.25,28.25
07-08-2016,28.25,29.65,29.65,29.65,29.65
07-08-2016,28.25,29.65,29.65,29.65,29.65
07-11-2016,29.65,28.20,28.20,28.20,28.20
07-12-2016,28.20,29.60,29.60,29.60,29.60
