Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,223.10,224.00,224.00,214.50,215.85

06-08-2016,215.85,216.00,220.00,215.00,218.25
06-09-2016,218.25,218.30,218.30,213.30,216.80
06-10-2016,216.80,214.10,238.80,214.10,230.80
06-13-2016,230.80,227.00,238.80,225.00,229.95
06-14-2016,229.95,230.60,232.95,222.50,223.90
06-15-2016,223.90,224.00,229.95,222.00,223.10
06-16-2016,223.10,224.00,226.00,217.10,221.20
06-17-2016,221.20,223.75,224.00,210.00,211.40
06-19-2016,211.40,212.00,217.70,211.05,213.60
06-21-2016,213.60,214.00,216.65,212.30,214.70
06-22-2016,214.70,216.00,216.70,213.00,214.95
06-23-2016,214.95,212.10,217.00,212.10,215.60
06-24-2016,215.60,204.80,212.00,188.00,206.00
06-27-2016,206.00,206.00,214.75,206.00,209.90
06-28-2016,209.90,210.05,219.75,210.00,216.55
06-29-2016,216.55,217.50,223.65,216.95,219.15
06-30-2016,219.15,220.00,221.90,215.05,216.30
07-01-2016,216.30,218.80,219.00,212.50,213.90
07-05-2016,213.90,215.00,222.60,214.00,215.75
07-05-2016,215.75,218.35,219.80,215.20,217.20
07-08-2016,217.20,230.00,246.05,228.00,229.35
07-08-2016,229.35,230.90,242.00,224.00,229.05
07-11-2016,229.05,237.50,241.80,230.05,232.25
07-12-2016,232.25,232.00,233.05,226.05,230.10
