Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,5.40,5.22,5.31,4.86,4.86
05-19-2016,4.86,4.85,4.99,4.55,4.91
05-20-2016,4.91,4.90,5.05,4.80,4.85
05-21-2016,4.85,4.80,5.00,4.59,4.70
05-23-2016,4.70,4.85,4.93,4.85,4.93
05-24-2016,4.93,5.00,5.17,4.80,5.17
05-25-2016,5.17,5.41,5.42,5.30,5.42
05-26-2016,5.42,5.69,5.69,5.50,5.69
05-27-2016,5.69,5.97,5.97,5.43,5.59
05-30-2016,5.59,5.85,5.85,5.32,5.53
05-31-2016,5.53,5.68,5.68,5.26,5.26
06-01-2016,5.26,5.00,5.00,5.00,5.00
06-02-2016,5.00,4.75,4.75,4.75,4.75
06-04-2016,4.75,4.52,4.64,4.52,4.52
06-06-2016,4.52,4.38,4.40,4.36,4.37
06-07-2016,4.38,4.25,4.51,4.17,4.44
06-08-2016,4.44,4.30,4.65,4.22,4.44
06-09-2016,4.44,4.40,4.57,4.22,4.35
06-10-2016,4.35,4.30,4.46,4.14,4.30
06-13-2016,4.30,4.44,4.44,4.14,4.29
06-14-2016,4.29,4.20,4.39,4.20,4.39
06-15-2016,4.39,4.25,4.25,4.25,4.25
06-16-2016,4.25,4.20,4.21,4.19,4.21
06-17-2016,4.21,4.39,4.42,4.39,4.42
06-19-2016,4.42,4.63,4.63,4.50,4.50
06-21-2016,4.50,4.65,4.65,4.29,4.47
06-22-2016,4.47,4.50,4.62,4.38,4.38
06-23-2016,4.38,4.19,4.55,4.19,4.50
06-24-2016,4.50,4.70,4.70,4.28,4.28
06-27-2016,4.28,4.48,4.49,4.10,4.10
06-28-2016,4.10,4.01,4.30,4.01,4.30
06-29-2016,4.30,4.14,4.44,4.12,4.18
06-30-2016,4.18,4.37,4.38,4.12,4.37
07-01-2016,4.37,4.40,4.65,4.23,4.31
07-05-2016,4.31,4.73,4.73,4.35,4.39
07-05-2016,4.39,4.50,4.69,4.20,4.28
07-08-2016,4.28,4.20,4.49,4.20,4.31
07-08-2016,4.31,4.21,4.53,4.21,4.27
07-11-2016,4.27,4.50,4.50,4.38,4.40
07-12-2016,4.40,4.20,4.71,4.20,4.45
