Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.29,3.17,3.17,3.16,3.16
05-19-2016,3.16,3.20,3.25,3.20,3.25
05-20-2016,3.25,3.45,3.48,3.45,3.47
05-20-2016,3.47,3.50,3.78,3.36,3.41
05-23-2016,3.47,3.50,3.78,3.36,3.41
05-24-2016,3.41,3.25,3.41,3.25,3.41
05-25-2016,3.41,3.18,3.19,3.18,3.19
05-26-2016,3.19,3.05,3.50,3.05,3.49
05-27-2016,3.19,3.05,3.50,3.05,3.49
05-30-2016,3.19,3.05,3.50,3.05,3.49
05-31-2016,3.19,3.05,3.50,3.05,3.49
06-01-2016,3.49,3.15,3.20,3.15,3.20
06-02-2016,3.49,3.15,3.20,3.15,3.20
06-04-2016,3.20,3.04,3.38,3.03,3.03
06-06-2016,3.20,3.04,3.38,3.03,3.03
06-07-2016,3.03,3.24,3.44,3.24,3.25
06-08-2016,3.25,3.04,3.12,3.04,3.12
06-09-2016,3.25,3.04,3.12,3.04,3.12
06-10-2016,3.25,3.04,3.12,3.04,3.12
06-13-2016,3.25,3.04,3.12,3.04,3.12
06-14-2016,3.12,3.64,3.64,3.15,3.64
06-15-2016,3.12,3.64,3.64,3.15,3.64
06-16-2016,3.64,3.17,4.00,3.05,3.25
06-17-2016,3.25,3.64,3.64,3.57,3.60
06-19-2016,3.60,3.12,3.50,3.12,3.50
06-21-2016,3.50,3.21,3.60,3.21,3.45
06-22-2016,3.45,3.25,3.43,3.25,3.28
06-23-2016,3.28,3.35,3.69,3.35,3.40
06-24-2016,3.28,3.35,3.69,3.35,3.40
06-27-2016,3.40,3.27,3.45,3.00,3.45
06-28-2016,3.45,3.44,3.60,3.28,3.50
06-29-2016,3.50,3.50,3.70,3.50,3.70
06-30-2016,3.70,3.60,3.78,3.56,3.56
07-01-2016,3.56,3.78,3.94,3.78,3.94
07-05-2016,3.94,4.00,4.69,3.75,4.47
07-05-2016,4.47,4.12,4.45,4.05,4.34
07-08-2016,4.34,4.29,4.50,4.09,4.21
07-08-2016,4.21,4.02,4.03,3.97,4.00
07-11-2016,4.00,3.50,4.39,3.50,3.89
07-12-2016,3.89,4.00,4.00,3.50,3.50
