Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,396.80,413.70,413.70,387.00,394.40
05-19-2016,394.40,395.00,407.80,385.20,391.50
05-20-2016,391.50,393.00,398.40,386.00,389.90
05-21-2016,389.90,389.00,397.00,384.50,385.20
05-23-2016,385.20,396.00,396.00,386.10,386.65
05-24-2016,386.65,380.00,386.00,370.00,373.05
05-25-2016,373.05,370.00,372.00,366.00,367.40
05-26-2016,367.40,389.00,389.00,375.10,380.00
05-27-2016,380.00,375.00,388.85,375.00,379.50
05-30-2016,379.50,380.60,380.60,357.50,372.85
05-31-2016,372.85,384.95,384.95,375.00,378.00
06-01-2016,378.00,376.00,381.95,376.00,378.85
06-02-2016,378.85,371.00,380.00,371.00,380.00
06-04-2016,380.00,385.00,390.00,366.00,372.00
06-06-2016,372.00,405.00,405.00,373.10,375.00
06-07-2016,375.00,388.95,388.95,375.00,376.50
06-08-2016,376.50,379.90,383.80,379.45,380.70
06-09-2016,380.70,380.00,380.00,365.40,374.60
06-10-2016,374.60,374.00,375.00,369.30,373.35
06-13-2016,373.35,389.95,389.95,370.00,382.00
06-14-2016,382.00,370.00,385.00,370.00,382.45
06-15-2016,382.45,377.05,387.95,377.00,382.60
06-16-2016,382.60,394.80,394.80,370.00,373.10
06-17-2016,373.10,393.95,393.95,375.00,377.75
06-19-2016,377.75,375.05,376.00,366.00,373.00
06-21-2016,373.00,375.00,389.00,372.55,380.90
06-22-2016,380.90,381.00,381.00,373.35,375.00
06-23-2016,375.00,366.00,389.00,365.00,369.40
06-24-2016,369.40,365.00,379.95,360.00,373.00
06-27-2016,373.00,366.05,371.80,366.00,367.90
06-28-2016,367.90,366.05,368.00,359.50,359.95
06-29-2016,359.95,360.00,382.00,360.00,364.90
06-30-2016,364.90,370.00,378.95,365.00,368.10
07-01-2016,368.10,370.00,376.00,370.00,373.50
07-05-2016,373.50,373.50,380.00,365.05,370.50
07-05-2016,370.50,379.90,379.90,365.00,371.80
07-08-2016,371.80,372.00,383.00,369.05,380.00
07-08-2016,380.00,385.00,385.00,372.00,375.60
07-11-2016,375.60,384.95,414.80,384.95,404.60
07-12-2016,404.60,412.00,419.00,399.00,407.40
