Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,99.30,103.00,103.00,96.10,96.75
05-19-2016,96.75,98.80,98.85,95.55,95.60
05-20-2016,95.60,95.10,96.90,95.00,95.15
05-21-2016,95.15,94.45,94.45,91.00,91.25
05-23-2016,91.25,81.35,100.90,81.35,92.00
05-24-2016,92.00,95.00,99.00,93.00,96.00
05-25-2016,96.00,97.00,97.00,93.00,93.80
05-26-2016,93.80,92.10,95.85,90.00,91.50
05-27-2016,91.50,93.00,93.00,90.00,90.05
05-30-2016,90.05,92.00,103.00,92.00,96.75
05-31-2016,96.75,97.95,101.50,95.00,95.15
06-01-2016,95.15,96.95,105.05,93.00,95.05
06-02-2016,95.05,96.95,97.95,94.30,94.50
06-04-2016,94.50,94.25,95.40,90.75,92.50
06-06-2016,92.50,100.00,100.00,92.00,92.00
06-07-2016,92.00,94.50,94.70,92.50,92.65
06-08-2016,92.65,93.05,93.55,91.15,92.55
06-09-2016,92.55,90.20,93.95,90.20,92.75
06-10-2016,92.75,94.35,94.40,91.20,91.20
06-13-2016,91.20,92.00,92.00,91.30,91.45
06-14-2016,91.45,92.95,92.95,91.50,91.55
06-15-2016,91.55,91.60,97.00,91.60,97.00
06-16-2016,97.00,95.50,95.50,94.05,95.00
06-17-2016,95.00,95.30,101.00,95.30,97.55
06-19-2016,97.55,97.35,98.65,95.05,95.15
06-21-2016,95.15,96.20,98.00,94.15,96.00
06-22-2016,96.00,97.00,100.95,96.05,96.10
06-23-2016,96.10,99.00,99.00,95.10,95.70
06-24-2016,95.70,90.15,94.00,83.00,88.20
06-27-2016,88.20,94.90,94.90,89.00,89.00
06-28-2016,89.00,91.10,94.50,91.10,94.50
06-29-2016,94.50,95.00,95.00,92.80,93.15
06-30-2016,93.15,94.95,97.80,94.25,94.40
07-01-2016,94.40,95.95,98.00,93.10,95.05
07-05-2016,95.05,98.00,99.00,92.00,92.60
07-05-2016,92.60,94.00,94.70,92.55,93.80
07-08-2016,93.80,93.00,96.00,93.00,95.00
07-08-2016,95.00,94.45,97.50,94.00,95.50
07-11-2016,95.50,98.90,99.00,96.00,96.50
07-12-2016,96.50,99.90,99.90,95.80,97.75
