Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,346.00,347.90,352.20,341.10,344.60
05-19-2016,344.60,345.00,345.00,336.00,342.30
05-20-2016,342.30,345.00,349.80,340.60,341.90
05-21-2016,341.90,343.00,343.00,327.20,330.40
05-23-2016,330.40,333.30,335.00,316.00,319.60
05-24-2016,319.60,321.05,337.80,315.00,328.25
05-25-2016,328.25,330.00,353.95,330.00,340.55
05-26-2016,340.55,369.00,405.00,365.00,390.10
05-27-2016,390.10,389.00,389.00,372.00,381.50
05-30-2016,381.50,380.00,389.95,377.00,382.65
05-31-2016,382.65,381.00,381.00,365.90,376.85
06-01-2016,376.85,375.85,399.90,375.85,381.00
06-02-2016,381.00,383.00,390.00,375.05,378.45
06-04-2016,378.45,379.00,383.00,369.00,370.45
06-06-2016,370.45,371.00,374.70,365.00,366.45
06-07-2016,366.45,369.00,400.00,367.10,389.00
06-08-2016,389.00,391.00,394.70,383.25,384.25
06-09-2016,384.25,387.00,428.35,386.00,412.35
06-10-2016,412.35,413.00,417.90,396.50,403.60
06-13-2016,403.60,403.00,403.00,390.80,399.25
06-14-2016,399.25,395.00,415.00,392.00,402.00
06-15-2016,402.00,403.00,415.00,403.00,406.05
06-16-2016,406.05,406.00,406.00,393.95,396.10
06-17-2016,396.10,400.00,409.00,388.85,391.60
06-19-2016,391.60,386.00,395.45,379.15,382.05
06-21-2016,382.05,380.05,384.00,375.00,382.05
06-22-2016,382.05,389.50,389.50,376.00,377.70
06-23-2016,377.70,375.00,381.90,373.00,380.40
06-24-2016,380.40,365.00,374.90,349.00,368.75
06-27-2016,368.75,370.00,379.90,366.90,369.55
06-28-2016,369.55,378.00,378.00,367.00,371.70
06-29-2016,371.70,389.95,421.00,389.95,400.15
06-30-2016,400.15,401.00,410.30,390.00,396.10
07-01-2016,396.10,399.00,399.00,387.55,389.05
07-05-2016,389.05,400.00,407.45,390.00,395.85
07-05-2016,395.85,391.75,398.00,380.00,386.20
07-08-2016,386.20,390.00,390.00,379.50,380.40
07-08-2016,380.40,394.00,394.00,382.00,387.40
07-11-2016,387.40,387.00,391.60,380.50,383.00
07-12-2016,383.70,380.00,392.90,377.50,383.30
