Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,47.00,48.00,48.00,46.50,47.95
05-19-2016,47.95,47.95,48.00,47.95,48.00
05-20-2016,48.00,48.00,48.00,48.00,48.00
05-21-2016,48.00,48.00,48.00,48.00,48.00
05-23-2016,48.00,48.00,48.00,48.00,48.00
05-24-2016,48.00,48.00,48.00,48.00,48.00
05-25-2016,48.00,48.00,48.00,48.00,48.00
05-26-2016,48.00,48.00,48.00,48.00,48.00
05-27-2016,48.00,48.00,48.00,48.00,48.00
05-30-2016,48.00,48.00,48.00,48.00,48.00
05-31-2016,48.00,48.00,48.00,46.00,47.70
06-01-2016,47.70,48.00,48.00,45.35,45.40
06-02-2016,45.40,43.30,45.00,43.30,45.00
06-04-2016,45.40,43.30,45.00,43.30,45.00
06-06-2016,45.40,43.30,45.00,43.30,45.00
06-07-2016,45.00,45.00,45.00,44.00,44.00
06-08-2016,44.00,44.00,44.00,44.00,44.00
06-09-2016,44.00,43.50,43.50,41.80,41.80
06-10-2016,41.80,40.10,40.15,40.00,40.05
06-13-2016,40.05,38.20,38.20,38.20,38.20
06-14-2016,40.05,38.20,38.20,38.20,38.20
06-15-2016,40.05,38.20,38.20,38.20,38.20
06-16-2016,38.20,40.10,40.10,40.10,40.10
06-17-2016,40.10,42.10,42.10,38.25,38.25
06-19-2016,38.25,39.00,39.00,39.00,39.00
06-21-2016,38.25,39.00,39.00,39.00,39.00
06-22-2016,38.25,39.00,39.00,39.00,39.00
06-23-2016,38.25,39.00,39.00,39.00,39.00
06-24-2016,38.25,39.00,39.00,39.00,39.00
06-27-2016,39.00,40.00,40.00,40.00,40.00
06-28-2016,40.00,38.10,39.90,38.00,39.90
06-29-2016,39.90,37.95,41.00,37.95,38.80
06-30-2016,39.90,37.95,41.00,37.95,38.80
07-01-2016,39.90,37.95,41.00,37.95,38.80
07-05-2016,38.80,38.05,38.05,38.05,38.05
07-05-2016,38.05,37.25,37.85,36.80,37.10
07-08-2016,37.10,38.90,38.90,38.90,38.90
07-08-2016,38.90,40.80,40.80,40.80,40.80
07-11-2016,38.90,40.80,40.80,40.80,40.80
07-12-2016,40.80,38.80,38.80,38.80,38.80
