Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,41.85,42.35,42.50,39.50,40.20
05-19-2016,40.20,40.00,41.00,39.00,40.60
05-19-2016,40.60,40.50,40.50,38.00,39.10
05-20-2016,39.10,39.00,39.80,39.00,39.10
05-23-2016,39.10,38.70,38.70,37.70,38.00
05-24-2016,38.00,34.00,39.90,34.00,38.90
05-25-2016,38.90,38.00,39.00,38.00,38.20
05-26-2016,38.20,37.20,39.70,36.70,38.80
05-27-2016,38.80,39.00,40.00,38.10,38.10
05-30-2016,38.10,39.50,39.70,38.20,39.70
05-31-2016,39.70,38.00,38.50,38.00,38.15
06-01-2016,38.15,39.70,40.00,38.60,40.00
06-02-2016,40.00,38.50,38.50,38.05,38.05
06-04-2016,38.05,37.80,38.50,37.80,38.50
06-06-2016,38.50,39.95,41.00,38.10,40.95
06-07-2016,40.85,40.85,40.85,39.00,39.10
06-08-2016,39.10,38.40,40.00,38.40,39.80
06-09-2016,39.80,38.45,39.75,38.30,38.35
06-10-2016,38.35,38.45,40.90,38.40,38.45
06-13-2016,38.45,38.00,39.90,37.75,38.30
06-14-2016,38.30,37.15,39.65,37.15,37.80
06-15-2016,37.80,39.70,39.70,37.70,38.00
06-16-2016,38.00,37.55,39.00,37.35,37.75
06-17-2016,37.75,37.60,39.40,37.60,38.45
06-19-2016,38.45,39.20,39.20,37.70,38.80
06-21-2016,38.80,39.90,39.90,37.60,37.60
06-22-2016,37.60,38.90,39.00,37.60,37.60
06-23-2016,37.60,37.60,38.50,37.35,37.35
06-24-2016,37.35,38.00,38.00,35.50,36.55
06-27-2016,36.55,43.00,43.00,36.55,37.95
06-28-2016,37.95,38.95,39.00,37.50,38.65
06-29-2016,38.65,39.00,39.40,37.85,39.40
06-30-2016,39.40,39.20,39.20,38.20,38.25
07-01-2016,38.25,38.25,39.15,38.10,39.10
07-05-2016,39.10,39.10,40.80,38.95,40.25
07-05-2016,40.25,40.45,44.00,40.45,41.90
07-07-2016,41.90,38.90,44.95,38.90,44.05
07-08-2016,44.05,43.00,43.00,41.10,41.75
07-11-2016,41.75,41.05,42.40,40.00,40.05
07-12-2016,40.05,40.50,41.20,39.00,41.20
