Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,413.80,413.10,413.90,413.10,413.85

06-08-2016,413.85,413.00,414.50,412.20,414.50
06-09-2016,414.50,412.10,413.90,412.10,413.90
06-10-2016,413.90,413.00,414.00,412.90,413.60
06-13-2016,413.60,414.00,416.45,414.00,416.45
06-14-2016,416.45,415.00,416.00,413.10,416.00
06-15-2016,416.00,412.00,413.95,412.00,413.95
06-16-2016,413.95,412.80,413.50,412.05,413.00
06-17-2016,413.00,413.50,415.20,412.90,415.20
06-19-2016,415.20,414.00,414.80,413.80,414.80
06-21-2016,414.80,413.50,414.55,412.65,414.55
06-22-2016,414.55,413.50,414.80,412.00,412.50
06-23-2016,412.50,412.30,412.90,411.10,412.65
06-24-2016,412.65,409.10,410.60,409.00,410.60
06-27-2016,410.60,411.10,411.90,411.05,411.45
06-28-2016,411.45,410.00,411.05,410.00,411.05
06-29-2016,411.05,411.00,411.90,411.00,411.90
06-30-2016,411.90,412.00,412.00,411.05,411.50
07-01-2016,411.50,412.10,412.10,412.10,412.10
07-05-2016,412.10,412.50,413.00,412.10,413.00
07-05-2016,413.00,411.00,412.00,410.50,411.95
07-07-2016,411.95,411.50,412.60,411.10,411.55
07-08-2016,411.55,410.50,412.00,409.00,409.50
07-11-2016,409.50,411.20,412.70,411.20,412.70
07-12-2016,412.70,412.50,412.90,412.40,412.50
