Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,123.70,125.00,125.00,122.10,122.30
05-19-2016,122.30,122.20,122.20,120.20,120.90
05-20-2016,120.90,120.60,121.80,119.00,120.20
05-20-2016,120.20,121.50,121.80,119.30,120.00
05-23-2016,120.00,121.00,121.25,118.40,119.10
05-24-2016,119.10,117.35,117.80,114.20,114.35
05-25-2016,114.35,117.00,117.70,115.10,115.85
05-26-2016,115.85,117.50,118.00,116.00,117.60
05-27-2016,117.60,117.45,122.50,117.45,121.85
05-30-2016,121.85,123.30,124.40,118.40,119.50
05-31-2016,119.50,120.00,120.00,116.00,119.50
06-01-2016,119.50,118.10,119.80,117.65,117.70
06-02-2016,117.70,118.00,118.50,117.00,117.60
06-04-2016,117.60,118.25,118.25,115.00,115.85
06-06-2016,115.85,116.30,118.40,115.25,115.75
06-07-2016,115.75,116.50,116.50,114.50,115.90
06-08-2016,115.90,115.50,116.75,115.25,115.95
06-09-2016,115.95,115.15,116.00,113.55,115.25
06-10-2016,115.25,115.60,116.75,114.55,114.80
06-13-2016,114.80,113.55,114.70,110.60,114.25
06-14-2016,114.25,115.95,115.95,113.40,114.00
06-15-2016,114.00,116.70,116.70,114.30,114.90
06-16-2016,114.90,114.05,117.00,113.35,115.65
06-17-2016,115.65,116.40,116.75,113.70,114.15
06-19-2016,114.15,115.35,116.90,114.10,116.80
06-21-2016,116.80,118.70,120.45,117.35,119.20
06-22-2016,119.20,118.15,120.50,116.20,116.55
06-23-2016,116.55,116.00,119.75,115.55,118.20
06-24-2016,118.20,113.05,114.00,110.40,113.35
06-27-2016,113.35,113.35,116.15,113.00,115.45
06-28-2016,115.45,116.25,130.90,116.00,123.80
06-29-2016,123.80,123.95,123.95,120.00,121.25
06-30-2016,121.25,122.00,124.35,120.00,122.45
07-01-2016,122.45,123.20,124.70,120.00,120.65
07-05-2016,120.65,121.95,122.50,119.20,120.60
07-05-2016,120.60,120.55,120.55,118.10,118.45
07-08-2016,118.45,118.30,124.10,118.00,121.65
07-08-2016,121.65,121.35,121.50,120.20,120.70
07-11-2016,120.70,123.70,124.60,121.20,121.65
07-12-2016,122.25,122.25,131.00,122.25,127.60
