Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.36,12.75,12.75,12.75,12.75
05-19-2016,12.75,12.25,12.75,12.25,12.75
05-20-2016,12.75,13.15,13.15,12.55,12.55
05-20-2016,12.55,12.50,13.15,12.05,13.15
05-23-2016,13.15,12.50,13.69,12.50,13.69
05-24-2016,13.69,13.01,14.16,13.01,14.16
05-25-2016,13.69,13.01,14.16,13.01,14.16
05-26-2016,14.16,13.46,13.46,13.46,13.46
05-27-2016,13.46,12.90,12.90,12.79,12.80
05-30-2016,13.46,12.90,12.90,12.79,12.80
05-31-2016,13.46,12.90,12.90,12.79,12.80
06-01-2016,12.80,12.16,12.16,12.16,12.16
06-02-2016,12.16,12.00,12.00,11.56,11.57
06-04-2016,11.57,11.01,12.14,11.01,12.14
06-06-2016,11.57,11.01,12.14,11.01,12.14
06-07-2016,12.14,11.54,11.75,11.54,11.65
06-08-2016,11.65,11.98,12.22,11.98,12.20
06-09-2016,12.20,12.10,12.10,12.10,12.10
06-10-2016,12.10,12.65,12.65,12.00,12.45
06-13-2016,12.45,12.25,12.25,12.25,12.25
06-14-2016,12.25,12.50,12.50,11.82,11.99
06-15-2016,11.99,11.90,12.00,11.90,12.00
06-16-2016,12.00,12.40,12.40,12.35,12.35
06-17-2016,12.35,12.15,12.15,12.15,12.15
06-19-2016,12.15,12.15,12.15,12.15,12.15
06-21-2016,12.15,12.15,12.15,11.76,12.10
06-22-2016,12.10,12.40,12.40,11.80,11.80
06-23-2016,11.80,11.55,11.55,11.55,11.55
06-24-2016,11.55,11.40,11.40,11.40,11.40
06-27-2016,11.40,11.50,11.55,11.00,11.55
06-28-2016,11.55,11.10,12.12,11.01,11.50
06-29-2016,11.50,12.05,12.05,11.25,11.50
06-30-2016,11.50,12.07,12.07,12.07,12.07
07-01-2016,12.07,12.00,12.05,12.00,12.00
07-05-2016,12.00,11.70,11.80,11.70,11.80
07-05-2016,11.80,11.80,11.80,11.80,11.80
07-08-2016,11.80,12.80,12.80,12.20,12.20
07-08-2016,12.20,11.60,12.65,11.60,12.65
07-11-2016,12.65,11.80,12.01,11.80,11.80
07-12-2016,11.80,11.80,11.80,11.50,11.75
