Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2173.45,2205.00,2219.00,2160.60,2165.05
05-19-2016,2165.05,2161.00,2169.95,2140.30,2150.80
05-20-2016,2150.80,2116.05,2117.00,2051.00,2053.90
05-20-2016,2053.90,2046.50,2061.00,2023.00,2030.55
05-23-2016,2030.55,2018.30,2029.95,1865.05,2020.75
05-24-2016,2020.75,1995.05,2044.95,1995.05,2040.00
05-25-2016,2040.00,2050.00,2119.30,2050.00,2095.10
05-26-2016,2095.10,2110.00,2318.75,2110.00,2293.65
05-27-2016,2293.65,2298.45,2330.00,2250.00,2284.30
05-30-2016,2284.30,2401.05,2722.15,2401.05,2675.80
05-31-2016,2675.80,2641.40,2670.00,2456.00,2492.65
06-01-2016,2492.65,2529.60,2550.00,2445.70,2497.40
06-02-2016,2497.40,2493.75,2539.95,2443.10,2517.90
06-04-2016,2517.90,2528.75,2580.00,2482.00,2536.90
06-06-2016,2536.90,2500.00,2569.00,2493.00,2528.70
06-07-2016,2528.70,2511.00,2550.00,2488.80,2537.35
06-08-2016,2537.35,2569.00,2661.35,2500.00,2518.80
06-09-2016,2518.80,2549.00,2550.00,2495.00,2528.15
06-10-2016,2528.15,2505.00,2519.00,2475.15,2503.80
06-13-2016,2503.80,2473.45,2505.00,2465.00,2467.80
06-14-2016,2467.80,2483.45,2503.40,2450.00,2454.85
06-15-2016,2454.85,2500.00,2500.00,2483.35,2483.80
06-16-2016,2483.80,2465.40,2495.00,2450.00,2473.00
06-17-2016,2473.00,2523.95,2523.95,2466.85,2474.85
06-19-2016,2474.85,2482.30,2601.00,2482.30,2554.25
06-21-2016,2554.25,2569.00,2571.50,2547.85,2553.15
06-22-2016,2553.15,2543.65,2626.95,2542.60,2564.30
06-23-2016,2564.30,2575.30,2575.30,2502.00,2514.45
06-24-2016,2514.45,2435.00,2474.90,2325.00,2401.65
06-27-2016,2401.65,2430.00,2599.00,2402.05,2502.75
06-28-2016,2502.75,2488.00,2500.00,2472.00,2477.45
06-29-2016,2477.45,2545.00,2545.00,2467.30,2511.95
06-30-2016,2511.95,2491.05,2507.95,2483.00,2490.85
07-01-2016,2490.85,2478.65,2500.00,2475.00,2482.20
07-05-2016,2482.20,2500.00,2500.00,2480.50,2497.50
07-05-2016,2497.50,2492.00,2500.00,2467.05,2479.80
07-07-2016,2479.80,2481.05,2521.45,2481.05,2488.25
07-08-2016,2488.25,2471.55,2490.00,2471.55,2475.10
07-11-2016,2475.10,2518.10,2518.10,2490.15,2500.00
07-12-2016,2500.00,2509.95,2509.95,2483.65,2495.85
