Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,58.75,58.70,59.90,58.50,59.50
05-19-2016,59.50,59.20,61.80,58.85,61.05
05-20-2016,61.05,61.00,65.00,60.85,64.10
05-21-2016,64.10,63.00,70.70,62.95,68.20
05-23-2016,68.20,68.00,71.75,65.20,65.90
05-24-2016,65.90,66.00,69.50,64.90,68.55
05-25-2016,68.55,70.00,71.50,68.10,70.30
05-26-2016,70.30,70.40,71.30,68.80,70.85
05-27-2016,70.85,71.00,75.95,70.15,75.10
05-30-2016,75.10,75.00,76.45,72.50,73.55
05-31-2016,73.55,73.95,74.20,70.20,71.25
06-01-2016,71.25,71.65,72.90,70.55,71.20
06-02-2016,71.20,70.85,72.80,68.95,72.10
06-04-2016,72.10,73.10,74.80,71.15,72.25
06-06-2016,72.25,73.00,73.00,69.80,70.50
06-07-2016,70.50,70.30,77.30,70.05,76.70
06-08-2016,76.70,77.00,80.65,76.05,78.95
06-09-2016,78.95,80.25,80.70,76.85,77.50
06-10-2016,77.50,77.50,81.50,76.75,78.40
06-13-2016,78.40,77.00,78.40,76.35,77.30
06-14-2016,77.30,77.55,78.45,76.40,77.35
06-15-2016,77.35,77.25,80.00,77.25,79.20
06-16-2016,79.20,79.95,80.00,76.65,77.95
06-17-2016,77.95,77.95,82.80,77.95,81.70
06-19-2016,81.70,82.20,83.00,80.60,81.70
06-21-2016,81.70,81.50,81.65,79.20,79.90
06-22-2016,79.90,79.75,79.80,76.90,77.40
06-23-2016,77.40,77.60,79.00,75.15,77.15
06-24-2016,77.15,75.00,75.00,69.10,73.85
06-27-2016,73.85,73.50,75.60,73.40,74.20
06-28-2016,74.20,74.65,77.20,74.20,76.60
06-29-2016,76.60,77.35,77.50,74.90,75.40
06-30-2016,75.40,76.30,76.75,75.25,75.85
07-01-2016,75.85,76.00,77.35,75.15,75.65
07-05-2016,75.65,75.65,78.30,75.60,77.35
07-05-2016,77.35,77.80,78.00,75.40,76.05
07-08-2016,76.05,75.95,77.20,75.25,75.50
07-08-2016,75.50,75.60,77.70,75.00,77.15
07-11-2016,77.15,78.30,79.95,78.00,79.40
07-12-2016,79.40,82.05,82.65,80.00,80.40
